chargender,authgender,date,characters,speaking,agent,mod,patient,poss,total
u,u,1922,2599,18556,11571,949,3111,2650,18281
u,u,1923,12857,311720,63209,4176,15258,13303,95946
u,u,1924,7955,140724,32625,2372,8275,6481,49753
u,u,1925,9217,214144,43310,3228,11367,8702,66607
u,u,1926,10263,186552,39112,3008,10310,8401,60831
u,u,1927,9478,140638,34821,2808,9513,6800,53942
u,u,1928,11427,189599,48351,3494,12749,9524,74118
u,u,1929,14951,278456,63553,4518,15851,12939,96861
u,u,1930,13008,326167,72716,5120,16348,15221,109405
u,u,1931,11678,228463,54028,3633,12574,11864,82099
u,u,1932,9625,227836,47894,2947,10859,10234,71934
u,u,1933,7455,124017,31363,2446,7635,6477,47921
u,u,1934,8321,224721,37729,2890,9852,8158,58629
u,u,1935,7896,167415,41279,3054,8820,9038,62191
u,u,1936,10266,172442,41719,3158,9261,9296,63434
u,u,1937,8444,167813,39889,3231,8988,7766,59874
u,u,1938,8316,125887,40097,2899,8759,7857,59612
u,u,1939,7563,191423,37385,2689,8262,7935,56271
u,u,1940,7635,173100,46480,3161,10302,8731,68674
u,u,1941,7341,125694,34151,2423,8336,8057,52967
u,u,1942,7664,124701,34970,2571,7591,7150,52282
u,u,1943,9346,160104,41249,2753,9033,7857,60892
u,u,1944,7561,135211,34529,2483,7485,7810,52307
u,u,1945,9089,212232,47388,3254,10016,8980,69638
u,u,1946,14732,329713,67719,4921,15049,13406,101095
u,u,1947,12111,242541,63045,4437,13683,12256,93421
u,u,1948,12746,262707,62478,4471,14219,11830,92998
u,u,1949,12529,217099,58157,4062,12550,10706,85475
u,u,1950,15785,405381,89004,5777,18654,17148,130583
u,u,1951,11190,224962,59078,4169,12654,11830,87731
u,u,1952,12946,342394,76611,5157,16583,15454,113805
u,u,1953,12827,278977,67992,4599,14961,14123,101675
u,u,1954,11783,312432,81351,4959,16063,15461,117834
u,u,1955,15469,367460,81316,5663,17708,16567,121254
u,u,1956,13853,327346,78161,5293,16703,15933,116090
u,u,1957,13898,331968,80131,5646,17225,15947,118949
u,u,1958,13906,322966,91899,5924,18097,17746,133666
u,u,1959,15002,311292,76087,4983,16783,15471,113324
u,u,1960,16870,385607,96344,5996,19928,19380,141648
u,u,1961,19218,368060,103669,7520,21947,21848,154984
u,u,1962,19750,409978,108099,6983,24459,20596,160137
u,u,1963,18165,387934,98819,6510,20621,19172,145122
u,u,1964,18618,342323,97442,6596,20363,19118,143519
u,u,1965,20442,348042,103898,7110,22377,20970,154355
u,u,1966,20326,412325,109782,7302,23058,23312,163454
u,u,1967,25734,401736,116912,8291,27821,24116,177140
