decade	L2	accuracy
1950	0.0003	0.721875
1810	0.0003	0.73125
1810	3e-05	0.730625
1920	3e-05	0.7375
1880	3e-05	0.7490613266583229
1800	0.0001	0.74875
1930	3e-05	0.71125
1800	0.0001	0.756875
1810	3e-05	0.745625
1820	0.0001	0.750625
1900	0.001	0.725
1790	0.0001	0.72875
1860	0.001	0.7338760175328741
1850	0.0001	0.720625
1900	0.0001	0.735
1950	0.001	0.69625
1900	0.0003	0.727784730913642
1860	3e-05	0.7335834896810507
1830	3e-05	0.7615769712140176
1960	3e-05	0.6875
1930	0.0003	0.70625
1960	0.0003	0.670625
1940	0.0001	0.720625
1960	0.0001	0.686875
1800	0.0003	0.744375
1880	3e-05	0.7475
2000	0.001	0.6625
1980	0.0003	0.673125
1880	0.001	0.7596996245306633
2000	0.001	0.674375
1790	0.0001	0.73375
1870	0.0001	0.7227784730913642
1840	0.0003	0.756875
1960	3e-05	0.7225
1920	0.001	0.726875
1970	0.0003	0.698125
1850	0.001	0.749375
1880	0.001	0.7403003754693367
1860	0.0001	0.7290362953692116
1830	0.0003	0.7473420888055035
1840	0.0001	0.766729205753596
1990	0.0001	0.654375
1990	0.001	0.656875
1870	0.0001	0.7385866166353972
1990	0.0003	0.663125
1810	0.0001	0.7175
1930	3e-05	0.718125
1910	0.0003	0.711875
1970	3e-05	0.688125
1990	0.001	0.673125
1980	3e-05	0.6975
1960	0.0001	0.701875
1940	0.0001	0.69
1990	0.0001	0.66625
1910	3e-05	0.709375
1870	0.0003	0.7448405253283302
1840	3e-05	0.754375
1890	0.001	0.738125
1930	0.001	0.718125
1960	0.0003	0.734375
1950	3e-05	0.694375
1900	0.0003	0.729375
1860	0.0001	0.7319974953036944
1900	3e-05	0.724375
1940	0.001	0.725
1990	3e-05	0.6375
1840	0.001	0.7573483427141964
1820	3e-05	0.751875
1880	0.001	0.7471839799749687
1870	0.001	0.733125
1900	0.001	0.739375
1840	3e-05	0.7560975609756098
1860	0.0003	0.7367104440275172
1970	0.0003	0.700625
1810	3e-05	0.730625
1870	3e-05	0.7448405253283302
1990	3e-05	0.664375
1970	0.001	0.693125
2000	0.001	0.658125
1880	0.0003	0.7546933667083855
1840	0.0001	0.7575
1890	0.001	0.72625
1870	0.0003	0.7454659161976235
1900	0.0001	0.72625
1800	3e-05	0.74125
1870	0.001	0.7540675844806007
2000	3e-05	0.66375
1860	3e-05	0.7290362953692116
1810	0.0001	0.733125
