decade	accuracy
1790	0.659375
1790	0.690625
1790	0.67875
1790	0.673125
1790	0.671875
1790	0.645
1790	0.6725
1790	0.67875
1790	0.6725
1790	0.660625
1790	0.68625
1790	0.67
1790	0.6625
1790	0.67875
1790	0.680625
1800	0.685
1800	0.6425
1800	0.6725
1800	0.67125
1800	0.64
1800	0.669375
1800	0.658125
1800	0.654375
1800	0.675
1800	0.660625
1800	0.66875
1800	0.67875
1800	0.676875
1800	0.68375
1800	0.660625
1810	0.663125
1810	0.643125
1810	0.66375
1810	0.671875
1810	0.66875
1810	0.66875
1810	0.679375
1810	0.645
1810	0.695
1810	0.663125
1810	0.676875
1810	0.663125
1810	0.630625
1810	0.65125
1810	0.6575
1820	0.64875
1820	0.6275
1820	0.669375
1820	0.659375
1820	0.67125
1820	0.66125
1820	0.674375
1820	0.6775
1820	0.660625
1820	0.65375
1820	0.670625
1820	0.63875
1820	0.651875
1820	0.67
1820	0.653125
1830	0.675
1830	0.673125
1830	0.675
1830	0.669375
1830	0.668125
1830	0.668125
1830	0.679375
1830	0.660625
1830	0.6925
1830	0.665
1830	0.674375
1830	0.665
1830	0.6525
1830	0.64625
1830	0.671875
1840	0.685857321652065
1840	0.688360450563204
1840	0.6708385481852316
1840	0.6802252816020025
1840	0.6946182728410513
1840	0.67125
1840	0.6892230576441103
1840	0.6764705882352942
1840	0.7008760951188986
1840	0.688360450563204
1840	0.6618569636135508
1840	0.68625
1840	0.6914893617021277
1840	0.6723057644110275
1840	0.6691729323308271
1850	0.638125
1850	0.666875
1850	0.64875
1850	0.665
1850	0.650625
1850	0.699375
1850	0.6475
1850	0.649375
1850	0.650625
1850	0.666875
1850	0.6475
1850	0.675
1850	0.658125
1850	0.66125
1850	0.659375
1860	0.679375
1860	0.67
1860	0.650625
1860	0.675
1860	0.64375
1860	0.641875
1860	0.6525
1860	0.62375
1860	0.650625
1860	0.65875
1860	0.636875
1860	0.670625
1860	0.650625
1860	0.623125
1860	0.676875
1870	0.66375
1870	0.6825
1870	0.65
1870	0.665
1870	0.6675
1870	0.65375
1870	0.67125
1870	0.6525
1870	0.653125
1870	0.6575
1870	0.665
1870	0.639375
1870	0.659375
1870	0.661875
1870	0.665625
1880	0.6725
1880	0.6341463414634146
1880	0.67625
1880	0.6535334584115072
1880	0.67875
1880	0.664375
1880	0.654375
1880	0.66625
1880	0.6722951844903065
1880	0.66
1880	0.675625
1880	0.669375
1880	0.6635397123202001
1880	0.67
1880	0.6779237023139462
1890	0.64875
1890	0.6625
1890	0.6725
1890	0.65625
1890	0.639375
1890	0.67125
1890	0.659375
1890	0.6575
1890	0.666875
1890	0.669375
1890	0.685625
1890	0.68875
1890	0.64
1890	0.6425
1890	0.674375
1900	0.684375
1900	0.656875
1900	0.65875
1900	0.665625
1900	0.674375
1900	0.663125
1900	0.666875
1900	0.665
1900	0.670625
1900	0.65625
1900	0.68125
1900	0.673125
1900	0.66625
1900	0.65875
1900	0.67375
1910	0.68
1910	0.6475
1910	0.655625
1910	0.65375
1910	0.66125
1910	0.664375
1910	0.651875
1910	0.65625
1910	0.663125
1910	0.668125
1910	0.673125
1910	0.64875
1910	0.6725
1910	0.66875
1910	0.694375
1920	0.661875
1920	0.690625
1920	0.658125
1920	0.653125
1920	0.67625
1920	0.670625
1920	0.6725
1920	0.648125
1920	0.661875
1920	0.670625
1920	0.668125
1920	0.6625
1920	0.6625
1920	0.698125
1920	0.66
1930	0.675625
1930	0.6625
1930	0.674375
1930	0.7125
1930	0.699375
1930	0.683125
1930	0.68
1930	0.66875
1930	0.698125
1930	0.7075
1930	0.685
1930	0.6875
1930	0.673125
1930	0.671875
1930	0.694375
1940	0.7025
1940	0.673125
1940	0.691875
1940	0.6625
1940	0.681875
1940	0.65
1940	0.6725
1940	0.67625
1940	0.67875
1940	0.68375
1940	0.679375
1940	0.67375
1940	0.68125
1940	0.68
1940	0.685
1950	0.669375
1950	0.694375
1950	0.684375
1950	0.690625
1950	0.6675
1950	0.6875
1950	0.69125
1950	0.69125
1950	0.69125
1950	0.67375
1950	0.68
1950	0.689375
1950	0.688125
1950	0.699375
1950	0.675625
1960	0.688125
1960	0.676875
1960	0.67125
1960	0.661875
1960	0.6625
1960	0.669375
1960	0.6875
1960	0.65875
1960	0.68375
1960	0.6575
1960	0.67125
1960	0.64625
1960	0.676875
1960	0.66875
1960	0.685625
1970	0.6525
1970	0.66625
1970	0.65625
1970	0.65625
1970	0.665625
1970	0.680625
1970	0.674375
1970	0.668125
1970	0.69
1970	0.66
1970	0.6475
1970	0.67875
1970	0.68875
1970	0.6825
1970	0.663125
1980	0.620625
1980	0.66375
1980	0.645
1980	0.6325
1980	0.65125
1980	0.625625
1980	0.638125
1980	0.6125
1980	0.6475
1980	0.634375
1980	0.616875
1980	0.64375
1980	0.6325
1980	0.654375
1980	0.651875
1990	0.65875
1990	0.635625
1990	0.630625
1990	0.64625
1990	0.655625
1990	0.6325
1990	0.64
1990	0.635625
1990	0.64375
1990	0.6425
1990	0.624375
1990	0.635625
1990	0.629375
1990	0.6275
1990	0.618125
2000	0.630625
2000	0.645625
2000	0.635625
2000	0.655625
2000	0.650625
2000	0.640625
2000	0.62375
2000	0.629375
2000	0.64625
2000	0.64125
2000	0.621875
2000	0.654375
2000	0.625625
2000	0.6375
2000	0.62125
