decade	L2	accuracy	iter
1790	0.0001	0.73375	0
1790	3e-05	0.724375	0
1790	0.0003	0.719375	0
1790	0.001	0.709375	0
1790	0.0001	0.710625	1
1790	3e-05	0.718125	1
1790	0.0003	0.721875	1
1790	0.001	0.72625	1
1790	0.0001	0.72875	2
1790	3e-05	0.713125	2
1790	0.0003	0.723125	2
1790	0.001	0.72375	2
1790	0.0001	0.723125	3
1790	3e-05	0.723125	3
1790	0.0003	0.7175	3
1790	0.001	0.7225	3
1790	0.0001	0.724375	4
1790	3e-05	0.725625	4
1790	0.0003	0.731875	4
1790	0.001	0.710625	4
1790	0.0001	0.716875	5
1790	3e-05	0.729375	5
1790	0.0003	0.726875	5
1790	0.001	0.72375	5
1790	0.0001	0.71875	6
1790	3e-05	0.724375	6
1790	0.0003	0.724375	6
1790	0.001	0.7125	6
1790	0.0001	0.716875	7
1790	3e-05	0.72375	7
1790	0.0003	0.719375	7
1790	0.001	0.715	7
1790	0.0001	0.710625	8
1790	3e-05	0.72	8
1790	0.0003	0.71125	8
1790	0.001	0.720625	8
1790	0.0001	0.7075	9
1790	3e-05	0.71125	9
1790	0.0003	0.709375	9
1790	0.001	0.71875	9
1790	0.0001	0.7225	10
1790	3e-05	0.711875	10
1790	0.0003	0.719375	10
1790	0.001	0.709375	10
1790	0.0001	0.718125	11
1790	3e-05	0.72125	11
1790	0.0003	0.71625	11
1790	0.001	0.715	11
1790	0.0001	0.715625	12
1790	3e-05	0.725	12
1790	0.0003	0.72125	12
1790	0.001	0.716875	12
1790	0.0001	0.730625	13
1790	3e-05	0.718125	13
1790	0.0003	0.72625	13
1790	0.001	0.7275	13
1790	0.0001	0.7075	14
1790	3e-05	0.70875	14
1790	0.0003	0.716875	14
1790	0.001	0.709375	14
1800	0.0001	0.75875	0
1800	3e-05	0.750625	0
1800	0.0003	0.758125	0
1800	0.001	0.748125	0
1800	0.0001	0.740625	1
1800	3e-05	0.7375	1
1800	0.0003	0.744375	1
1800	0.001	0.73375	1
1800	0.0001	0.756875	2
1800	3e-05	0.75125	2
1800	0.0003	0.75	2
1800	0.001	0.74625	2
1800	0.0001	0.74875	3
1800	3e-05	0.749375	3
1800	0.0003	0.745	3
1800	0.001	0.74875	3
1800	0.0001	0.750625	4
1800	3e-05	0.7475	4
1800	0.0003	0.758125	4
1800	0.001	0.765	4
1800	0.0001	0.750625	5
1800	3e-05	0.748125	5
1800	0.0003	0.743125	5
1800	0.001	0.735625	5
1800	0.0001	0.74875	6
1800	3e-05	0.7475	6
1800	0.0003	0.743125	6
1800	0.001	0.741875	6
1800	0.0001	0.745625	7
1800	3e-05	0.751875	7
1800	0.0003	0.73875	7
1800	0.001	0.745	7
1800	0.0001	0.754375	8
1800	3e-05	0.7625	8
1800	0.0003	0.75	8
1800	0.001	0.755625	8
1800	0.0001	0.74125	9
1800	3e-05	0.738125	9
1800	0.0003	0.744375	9
1800	0.001	0.74	9
1800	0.0001	0.75125	10
1800	3e-05	0.759375	10
1800	0.0003	0.7475	10
1800	0.001	0.75	10
1800	0.0001	0.7425	11
1800	3e-05	0.733125	11
1800	0.0003	0.73375	11
1800	0.001	0.736875	11
1800	0.0001	0.7375	12
1800	3e-05	0.750625	12
1800	0.0003	0.748125	12
1800	0.001	0.741875	12
1800	0.0001	0.74625	13
1800	3e-05	0.735	13
1800	0.0003	0.751875	13
1800	0.001	0.75	13
1800	0.0001	0.7275	14
1800	3e-05	0.74125	14
1800	0.0003	0.74	14
1800	0.001	0.7375	14
1810	0.0001	0.739375	0
1810	3e-05	0.7425	0
1810	0.0003	0.744375	0
1810	0.001	0.741875	0
1810	0.0001	0.738125	1
1810	3e-05	0.735625	1
1810	0.0003	0.745	1
1810	0.001	0.744375	1
1810	0.0001	0.745	2
1810	3e-05	0.749375	2
1810	0.0003	0.745625	2
1810	0.001	0.7375	2
1810	0.0001	0.71375	3
1810	3e-05	0.714375	3
1810	0.0003	0.71375	3
1810	0.001	0.711875	3
1810	0.0001	0.716875	4
1810	3e-05	0.730625	4
1810	0.0003	0.721875	4
1810	0.001	0.725625	4
1810	0.0001	0.7175	5
1810	3e-05	0.713125	5
1810	0.0003	0.714375	5
1810	0.001	0.709375	5
1810	0.0001	0.7325	6
1810	3e-05	0.745625	6
1810	0.0003	0.734375	6
1810	0.001	0.731875	6
1810	0.0001	0.718125	7
1810	3e-05	0.72375	7
1810	0.0003	0.7325	7
1810	0.001	0.724375	7
1810	0.0001	0.705625	8
1810	3e-05	0.700625	8
1810	0.0003	0.715	8
1810	0.001	0.715	8
1810	0.0001	0.733125	9
1810	3e-05	0.721875	9
1810	0.0003	0.725	9
1810	0.001	0.71875	9
1810	0.0001	0.726875	10
1810	3e-05	0.7225	10
1810	0.0003	0.711875	10
1810	0.001	0.71625	10
1810	0.0001	0.725	11
1810	3e-05	0.7375	11
1810	0.0003	0.7275	11
1810	0.001	0.729375	11
1810	0.0001	0.738125	12
1810	3e-05	0.745625	12
1810	0.0003	0.7325	12
1810	0.001	0.745	12
