year,low,mean,high
1890,0.378738471673,0.492063492063,0.612026406429
1920,0.280701754386,0.411764705882,0.543899521531
1955,0.108072072072,0.197368421053,0.302631578947
1985,0.237288135593,0.35593220339,0.48275862069
