"alias"	"ourname"
"Lawrence, George A. (George Alfred),"	"Lawrence, George A"
"(George Alfred), Lawrence, George A."	"Lawrence, George A"
"Lawrence, George Alfred,"	"Lawrence, George A"
"(Stephen Watson), Fullom, S. W."	"Fullom, S. W"
"Fullom, S. W. (Stephen Watson),"	"Fullom, S. W"
"Rayne, M. L. (Martha Louise)"	"Rayne, M. L"
"(Martha Louise) Rayne, M. L."	"Rayne, M. L"
"Powell, Ella M. (Ella May),"	"Powell, Ella M"
"Owen, Rye."	"Owen, Rye"
"Mrs., Banks, G. Linnaeus (George Linnaeus),"	"Banks, G. Linnaeus"
"(George Linnaeus), Banks, G. Linnaeus Mrs.,"	"Banks, G. Linnaeus"
"Mrs., Banks, G. Linnaeus (George Linnaeus)"	"Banks, G. Linnaeus"
"Rogers, Robert L."	"Rogers, Robert L"
"Mrs. Lowndes, Hannah Maria (Jones)"	"Lowndes, Hannah Maria Jones"
"Mrs., Spofford, Harriet Elizabeth Prescott,"	"Spofford, Harriet Elizabeth Prescott"
"Durrell, Lawrence."	"Durrell, Lawrence"
"Reade, Compton, Mrs."	"Reade, Compton"
"Murray, Hamilton."	"Murray, Hamilton"
"Pedler, Margaret (Bass) Mrs."	"Pedler, Margaret (Bass) Mrs"
"Pedler, Margaret Bass."	"Pedler, Margaret (Bass) Mrs"
"Mrs. Pedler, Margaret (Bass)"	"Pedler, Margaret (Bass) Mrs"
"(James Matthew), Barrie, J. M."	"Barrie, J. M"
"Barrie, J. M. (James Matthew),"	"Barrie, J. M"
"Ruck, Berta."	"Ruck, Berta"
"(Frederic William), Farrar, F. W."	"Farrar, F. W"
"Farrar, F. W."	"Farrar, F. W"
"Farrar, F. W. (Frederic William),"	"Farrar, F. W"
"Myers, L. H. (Leopold Hamilton),"	"Myers, L. H"
"Gibson, Charles B. (Charles Bernard),"	"Gibson, Charles B"
"Butt, Beatrice May."	"Butt, Beatrice May"
"Lockhart, Laurence W. M. (Laurence William Maxwell),"	"Lockhart, Laurence W. M"
"(Laurence William Maxwell), Lockhart, Laurence W. M."	"Lockhart, Laurence W. M"
"Collins, Dale."	"Collins, Dale"
"Cheever, John."	"Cheever, John"
"Kemble, Adelaide."	"Kemble, Adelaide"
"Weaver, Sarah Harbine."	"Weaver, Sarah Harbine"
"(Cecil Scott), Forester, C. S."	"Forester, C. S. (Cecil Scott)"
"Armitt, Annie."	"Armitt, Annie"
"(Julia Caroline Ripley), Dorr, Julia C. R."	"Dorr, Julia C. R"
"Linton, E. Lynn (Elizabeth Lynn),"	"Linton, E. Lynn"
"(Elizabeth Lynn), Linton, E. Lynn"	"Linton, E. Lynn"
"Bellamy, Elizabeth W. (Elizabeth Whitfield),"	"Bellamy, Elizabeth W"
"Llewellyn, Richard."	"Llewellyn, Richard"
"(Bithia Mary), Croker, B. M."	"Croker, B. M"
"Croker, B. M. (Bithia Mary),"	"Croker, B. M"
"Dalrymple, J. Elphinstone, Mrs."	"Dalrymple, J. Elphinstone"
"Sinclair, May."	"Sinclair, May"
"Brewster, Eliot."	"Brewster, Eliot"
"(Robert William), Chambers, Robert W."	"Chambers, Robert W"
"Chambers, Robert W."	"Chambers, Robert W"
"Chambers, Robert W. (Robert William),"	"Chambers, Robert W"
"(William Pendleton), Chipman, William P."	"Chipman, William P"
"Besant, Walter Sir,"	"Besant, Walter"
"Besant, Walter, Sir,"	"Besant, Walter"
"Sir, Besant, Walter,"	"Besant, Walter"
"(Mark Mills), Pomeroy, Mark M."	"Pomeroy, Mark M"
"Andrews, Mary Raymond Shipman, Mrs."	"Andrews, Mary Raymond Shipman"
"Andrews, Mary Raymond (Shipman), Mrs.,"	"Andrews, Mary Raymond Shipman"
"Currier, Emma C."	"Currier, Emma C"
"Flagg, W. J. (William Joseph),"	"Flagg, W. J"
"(Augusta Jane), Evans, Augusta J."	"Evans, Augusta J"
"Evans, Augusta J. (Augusta Jane),"	"Evans, Augusta J"
"De Vries, Peter."	"De Vries, Peter"
"McCarthy, Justin."	"McCarthy, Justin"
"(Petr Nikolaevich), Krasnov, P. N."	"Krasnov, P. N. (Petr Nikolaevich)"
"D'Arcy, Ella."	"D'Arcy, Ella"
"Hutchinson, R. C. (Ray Coryton),"	"Hutchinson, R.C"
"(Ray Coryton), Hutchinson, R. C."	"Hutchinson, R.C"
"Barr, Amelia Edith (Huddleston),"	"Barr, Amelia Edith Huddleston"
"Baron, Lytton, Edward Bulwer Lytton,"	"Lytton, Edward Bulwer Lytton"
"Lytton, Edward Bulwer Lytton, Baron,"	"Lytton, Edward Bulwer Lytton"
"Rollins, Kathleen."	"Rollins, Kathleen"
"(Joseph Alexander), Altsheler, Joseph A."	"Altsheler, Joseph A"
"Altsheler, Joseph A. (Joseph Alexander),"	"Altsheler, Joseph A"
"Baron, Gorell, Ronald Gorell Barnes,"	"Gorell, Ronald Gorell Barnes"
"Snaith, J. C. (John Collis),"	"Snaith, J. C"
"(John Collis), Snaith, J. C."	"Snaith, J. C"
"Hales, A. G. (Alfred Greenwood),"	"(Alfred Greenwood), Hales, A. G"
"(Alfred Greenwood), Hales, A. G."	"(Alfred Greenwood), Hales, A. G"
"Cole, Alfred W. (Alfred Whaley)"	"Cole, Alfred Whaley"
"Knight, Wynter Frore."	"Knight, Wynter Frore"
"MacGregor, Hector."	"MacGregor, Hector"
"Lawrence, D. H. (David Herbert),"	"Lawrence, D. H"
"(David Herbert), Lawrence, D. H."	"Lawrence, D. H"
"Mrs., Slosson, Annie (Trumbull),"	"Slosson, Annie Trumbull"
"Barnett, Ada."	"Barnett, Ada"
"Ferrer, Max."	"Ferrer, Max"
"McKinnon, William Charles."	"McKinnon, William Charles"
"(Leigh Hadley), Irvine, Leigh H."	"Irvine, Leigh Hadley"
"(John Townsend), Trowbridge, J. T."	"Trowbridge, J. T"
"Trowbridge, J. T."	"Trowbridge, J. T"
"Trowbridge, J. T. (John Townsend),"	"Trowbridge, J. T"
"Roseboro', Viola."	"Roseboro', Viola"
"Cross, Ruth."	"Cross, Ruth"
"Lady, Long, Catharine,"	"Long, Catharine"
"Long, Catharine, Lady,"	"Long, Catharine"
"(Alfred Edward Woodley), Mason, A. E. W."	"Mason, A. E. W"
"Mason, A. E. W. (Alfred Edward Woodley),"	"Mason, A. E. W"
"Couperthwaite, S. L."	"Couperthwaite, S. L"
"(Francis Marion), Crawford, F. Marion"	"Crawford, F. Marion"
"Crawford, F. Marion (Francis Marion),"	"Crawford, F. Marion"
"Craik, Georgiana M. (Georgiana Marion),"	"Craik, Georgiana M"
"(Georgiana Marion), Craik, Georgiana M."	"Craik, Georgiana M"
"Ward, E."	"Ward, E"
"(Valentine) Goldie, V."	"Goldie, V"
"Goldie, V."	"Goldie, V"
"Foxton, E.,"	"Foxton, E"
"Kimball, Richard B. (Richard Burleigh),"	"Kimball, Richard B"
"Mathews, Joanna H. (Joanna Hooe),"	"Mathews, Joanna Hooe"
"Collins, A. Maria (Anna Maria)"	"Collins, A. Maria"
"(James Howell), Street, James H."	"Street, James H. (James Howell)"
"Peterson, Charles J. (Charles Jacobs),"	"Peterson, Charles J"
"Puckette, Clara Childs."	"Puckette, Clara Childs"
"(Pearl Sydenstricker), Buck, Pearl S."	"Buck, Pearl S"
"Buck, Pearl S. (Pearl Sydenstricker),"	"Buck, Pearl S"
"Grier, Sydney C.,"	"Grier, Sydney C"
"Paton, Alan."	"Paton, Alan"
"Gaskell, Catherine Milnes."	"Gaskell, Catherine Milnes"
"Lady. Gaskell, Catherine Milnes,"	"Gaskell, Catherine Milnes"
"Cotterell, Geoffrey."	"Cotterell, Geoffrey"
"Harwood, John Berwick."	"Harwood, John Berwick"
"Ritner, W. D. (William D.)"	"Ritner, W. D"
"Jacobs, W. W. (William Wymark),"	"Jacobs, W. W"
"Armstrong, F. Claudius."	"Armstrong, F. C"
"Armstrong, F. C."	"Armstrong, F. C"
"Armstrong, F. C. (Francis Claudius)"	"Armstrong, F. C"
"(Francis Claudius) Armstrong, F. C."	"Armstrong, F. C"
"Whittlesey, Elsie Leigh."	"Whittlesey, Elsie Leigh"
"Herrick, Robert."	"Herrick, Robert"
"Alexander, Mirian."	"Alexander, Mirian"
"Arthur, T. S."	"Arthur, T. S"
"Arthur, T. S. (Timothy Shay),"	"Arthur, T. S"
"(Timothy Shay), Arthur, T. S."	"Arthur, T. S"
"Hamel, Felix John."	"Hamel, Felix John"
"Fox, Richard A."	"Fox, Richard A"
"Cain, James M. (James Mallahan),"	"Cain, James M"
"(James Mallahan), Cain, James M."	"Cain, James M"
"Russell, Martha."	"Russell, Martha"
"Dejeans, Elizabeth."	"Dejeans, Elizabeth"
"Gerard, E. (Emily),"	"Gerard, E"
"Grand, Sarah."	"Grand, Sarah"
"Middlemass, Jean."	"Middlemass, Jean"
"(Anna Elizabeth), Dickinson, Anna E."	"Dickinson, Anna E"
"Sawyer, Caroline M. (Caroline Mehetabel),"	"Sawyer, Caroline M"
"Mrs., Riddell, J. H.,"	"Riddell, J. H"
"Riddell, J. H., Mrs.,"	"Riddell, J. H"
"Tomlinson, H. M. (Henry Major),"	"(Henry Major), Tomlinson, H. M"
"(Henry Major), Tomlinson, H. M."	"(Henry Major), Tomlinson, H. M"
"Thompson, Daniel P. (Daniel Pierce),"	"Thompson, Daniel P"
"Gwynne, Talbot."	"Gwynne, Talbot"
"Stacpoole, H. De Vere (Henry De Vere),"	"Stacpoole, H. De Vere"
"Sir, Parry, Edward Abbott,"	"Parry, Edward Abbott, Sir"
"Holmes, Richard S. (Richard Sill),"	"Holmes, Richard S"
"(Elma Allen), Travis, Elma A."	"Travis, Elma A"
"Travis, Elma A. (Elma Allen),"	"Travis, Elma A"
"(Francis Cowley), Burnand, F. C. Sir,"	"Burnand, F. C"
"Sir, Burnand, F. C. (Francis Cowley),"	"Burnand, F. C"
"(Mary Elizabeth), Braddon, M. E."	"Braddon, M. E"
"Braddon, M. E."	"Braddon, M. E"
"Braddon, M. E. (Mary Elizabeth),"	"Braddon, M. E"
"McLeod, Isabella."	"McLeod, Isabella"
"Carter, Robert S."	"Carter, Robert S"
"Norris, W. E. (William Edward),"	"Norris, W. E"
"(William Edward), Norris, W. E."	"Norris, W. E"
"Poynter, E. Frances (Eleanor Frances)"	"Poynter, E. Frances"
"(Eleanor Frances) Poynter, E. Frances"	"Poynter, E. Frances"
"Brody, Catharine."	"Brody, Catharine"
"Voynich, E. L. (Ethel Lillian),"	"Voynich, E. L"
"(Ethel Lillian), Voynich, E. L."	"Voynich, E. L"
"Edmonds, Walter Dumaux,"	"Edmonds, Walter D"
"Bullard, A. T. J. (Anne Tuttle Jones)"	"Bullard, A. T. J"
"Garnett, Olive."	"Garnett, Olive"
"Lyall, Edna."	"Lyall, Edna"
"Hudson, W. H. (William Henry),"	"Hudson, W. H"
"Somerville, E. Œ. (Edith Œnone),"	"Somerville, E. Œ"
"(Edith Œnone), Somerville, E. Œ."	"Somerville, E. Œ"
"Francis, Francis."	"Francis, Francis"
"Greenough, Richard S.,"	"Greenough, Richard S., Mrs"
"Greenough, Richard S., Mrs.,"	"Greenough, Richard S., Mrs"
"Onions, Oliver."	"Onions, Oliver"
"Dorr, Henry G."	"Dorr, Henry G"
"Ponsonby, Emily, Lady,"	"Ponsonby, Emily"
"Lady, Ponsonby, Emily,"	"Ponsonby, Emily"
"Coverdale, Harry."	"Coverdale, Harry"
"Helps, Arthur, Sir,"	"Helps, Arthur"
"Sir, Helps, Arthur,"	"Helps, Arthur"
"Heighway, Osborn W. Trenery."	"Heighway, Osborn W. Trenery"
"Durrant, Valentine."	"Durrant, Valentine"
"Chesterton, G. K. (Gilbert Keith),"	"Chesterton, G. K"
"(Gilbert Keith), Chesterton, G. K."	"Chesterton, G. K"
"(Gilbert Wolf), Gabriel, Gilbert W."	"Gabriel, Gilbert W"
"Gabriel, Gilbert W. (Gilbert Wolf),"	"Gabriel, Gilbert W"
"Wells, H. G. (Herbert George),"	"Wells, H. G"
"(Herbert George), Wells, H. G."	"Wells, H. G"
"Wells, H. G."	"Wells, H. G"
"Stephens, Ann S. (Ann Sophia),"	"Stephens, Ann S"
"Hurston, Zora Neale."	"Hurston, Zora Neale"
"Beresford, J. D. (John Davys),"	"Beresford, J. D"
"(John Davys), Beresford, J. D."	"Beresford, J. D"
"Payn, James."	"Payn, James"
"Author of No appeal."	"Author of No appeal"
