alias	ourname
St.  John, James Augustus	St. John, James Augustus
Myers, L. H. (Leopold Hamilton)	Myers, L. H
Brontë, Charlotte	Brontë, Charlotte
Jacobs, W.W	Jacobs, W. W
Griswold, F.Burge	Griswold, F. Burge
Forester, C.S.(Cecil Scott)	Forester, C. S. (Cecil Scott)
Porter, Gene Stratton	Stratton-Porter, Gene
Myers, L.  H	Myers, L. H
Jí_kai, Mí_r	Jokai, Mór
Burnand, F.  C	Burnand, F. C
Hon., Sackville-West, Edward	West, Edward Sackville
Cunninghame Graham, R.B	Cunninghame Graham, R. B
Armstrong, F.C	Armstrong, F. C
Lawrence, D.H	Lawrence, D. H
Blackmore, R.  D	Blackmore, R. D
Barrowcliffe, A.  J	Barrowcliffe, A. J
Moir, Erskine	Skene, Felicia
Thurston, Katherine Cecil	Thurston, Katherine
Wood, H.F	Wood, H. F
Forester, C.  S.  (Cecil Scott)	Forester, C. S. (Cecil Scott)
Ingram, J.Forsyth	Ingram, J. Forsyth
Beecher, Henry Ward	Edwards, Amelia Ann Blanford
Mott, Albert Julius	Barrowcliffe, A. J
Veitch, Sophie F.F	Veitch, Sophie F. F
Barrowcliffe, A.J	Barrowcliffe, A. J
Heighway, Osborn W.  Trenery	Heighway, Osborn W. Trenery
Williamson, C.N	Williamson, C. N
Mallock, W.H	Mallock, W. H
Collins, A.  Maria	Collins, A. Maria
 , Isabella	Banks, G. Linnaeus
Lawrence, George Alfred	Lawrence, George A
Hí©mon, Louis	Hémon, Louis
Davis, M.  E.  M	Davis, M. E. M
Somerville, E.Œ	Somerville, E. Œ
Montague, C.  E	Montague, C. E
Hall, S.C	Hall, S. C
Capes, J.M	Capes, J. M
Beresford, J. D. (John Davys)	Beresford, J. D
Roe, A.S	Roe, A. S
Chittenden, L.E	Chittenden, L. E
Oppenheim, E.  Phillips	Oppenheim, E. Phillips
Johnston, Harry	Johnston, Sir Harry
Robinson, F.  W	Robinson, F. W
Bailey, H.C.(Henry Christopher)	Bailey, H. C. (Henry Christopher)
Hull, Helen R.(Helen Rose)	Hull, Helen R. (Helen Rose)
Arthur, T.  S	Arthur, T. S
Bates, H.E.(Herbert Ernest)	Bates, H. E. (Herbert Ernest)
van Dyke, Henry	Van Dyke, Henry
Norris, Charles Gilman	Norris, Charles
Mason, A.  E.  W	Mason, A. E. W
Train, Arthur	Train, Arthur Cheney
Whyte-Melville, G.J	Whyte-Melville, G. J
Lawrence, D.  H	Lawrence, D. H
Palacio Valdí©s, Armando	Palacio Valdés, Armando
Freeman, R.  Austin (Richard Austin)	Freeman, R. Austin (Richard Austin)
Croker, B.M	Croker, B. M
(John Boynton), Priestley, J. B	Priestley, J.B
Rayne, M.  L	Rayne, M. L
Goulding, F.  R	Goulding, F. R
Powys, T.  F	Powys, T. F
Somerville, E. Ë	Somerville, E. Œ
Haggard, H.Rider	Haggard, H. Rider
Goff, H.N.K	Goff, H. N. K
Powers, J.F	Powers, J.F
Braddon, Mary Elizabeth	Braddon, M. E
Capes, J.  M	Capes, J. M
Bradford, O.  K	Bradford, O. K
Doyle, A. Conan	Doyle, Arthur Conan
 , Aloisia	Schubin, Ossip
 , Hugh Stowell	Merriman, Henry Seton
Jay, W.  M.  L	Jay, W. M. L
Speight, T.  W	Speight, T. W
Whyte-Melville, G.  J	Whyte-Melville, G. J
Ballantyne, R.M	Ballantyne, R. M
Farrar, F.  W	Farrar, F. W
Harwood, Isabella	Neil, Ross
Dixon, Thomas	Dickson, Thomas
Gerard, Emily	Gerard, E
Bradford, O.K	Bradford, O. K
Myers, L.H	Myers, L. H
Ritner, W.D	Ritner, W. D
Wood, Henry	Wood, Ellen
Ramé, Maria Louise 	Ouida
Jay, W.M.L	Jay, W. M. L
Arnold Bennett	Bennett, Arnold
Philips, F.C	Philips, F. C
Frank, Waldo David	Frank, Waldo
Ritner, W.  D	Ritner, W. D
Nordhoff, Charles	Nordhoff, Charles and Hall, James Norman
Sitwell, Edith, Dame	Sitwell, Edith
Crawford, F.  Marion	Crawford, F. Marion
Isham, Frederic Stewart	Isham, Frederick Stewart
Freeman, R.Austin (Richard Austin)	Freeman, R. Austin (Richard Austin)
Oppenheim, E.Phillips	Oppenheim, E. Phillips
Bardeen, C. W	Bardeen, C. W. (Charles William)
Somerville, E. Í	Somerville, E. Œ
Maxwell, W.B	Maxwell, W. B
Scudder, Horace Elisha. [from old catalog]	Scudder, Horace Elisha
