author,is_other,is_uk,is_us,nationality,reviews,uklist,uslists,salesevidence,raw_num_vols,midcareer,num_vols,logvols,logsales,noisyprior,ratio,posterior,percentile,prestige
"Dickens, Charles",0.0,1.0,0.0,uk,4.0,10.0,7.0,17.0,376.0,1859.0,371.65,5.9206396413277025,2.8903717578961645,16.565710010424745,0.04445380386535555,2.898726175021817,0.9972144846796658,0.62177724773725
"Wood, Ellen",0.0,1.0,0.0,uk,0.0,16.0,1.0,17.0,161.0,1863.0,161.51,5.0907395383379175,2.8903717578961645,17.63453465559283,0.10851353550915532,2.868353440612562,0.9974811083123426,0.46979290150999997
"Ward, Mary Augusta",0.0,1.0,0.0,uk,2.0,9.0,4.0,13.0,190.0,1895.0,135.78,4.91837379566995,2.6390573296152584,12.343532528680289,0.09024369446322773,2.6172838219693557,0.9980353634577603,0.7918242689970001
"Rinehart, Mary Roberts",0.0,0.0,1.0,us,0.0,0.0,12.0,12.0,96.0,1918.0,91.8,4.530446639792155,2.5649493574615367,12.074244821505713,0.13011039678346675,2.5183098702630056,0.9981684981684982,0.40199128864600003
"Churchill, Winston",0.0,0.0,1.0,us,1.0,0.0,13.0,13.0,66.0,1905.0,48.46,3.9011642620932703,2.6390573296152584,12.374140859260237,0.2501848131674128,2.51552337785249,0.9961759082217974,0.493158610506
"(Lloyd Cassel), Douglas, Lloyd C",0.0,0.0,1.0,us,0.0,2.0,12.0,14.0,21.0,1936.0,29.91,3.431079756144025,2.70805020110221,14.641487082796838,0.47368123852464694,2.4947465279445917,0.9975186104218362,0.27647300445399997
"Lewis, Sinclair",0.0,0.0,1.0,us,1.0,0.0,11.0,11.0,100.0,1930.0,128.85,4.866379938108757,2.4849066497880004,11.338630122456607,0.08732098669585374,2.4674606282613674,0.9955849889624724,0.540986992486
"Deeping, Warwick",0.0,1.0,0.0,uk,0.0,2.0,8.0,10.0,56.0,1928.0,71.93,4.289500076996142,2.3978952727983707,9.97448322246934,0.13676790377717454,2.337548045763045,0.9915074309978769,0.566268870021
"Tarkington, Booth",0.0,0.0,1.0,us,3.0,0.0,9.0,9.0,202.0,1917.0,187.92,5.241323645027916,2.302585092994046,8.556363301243515,0.04529093426446917,2.3153837177558567,0.9891304347826086,0.5067679581996667
"Barrie, J. M",0.0,1.0,0.0,uk,4.0,5.0,4.0,9.0,178.0,1892.0,132.09,4.891025591098464,2.302585092994046,8.474138329719953,0.06367223930963974,2.297183435630122,0.9961685823754789,0.59735798824675
"Grey, Zane",0.0,0.0,1.0,us,0.0,0.0,9.0,9.0,116.0,1921.0,121.29,4.806395273201279,2.302585092994046,8.668554857548981,0.07088523066112504,2.291822079544319,0.9892086330935251,0.279009049133
"Reade, Charles",0.0,1.0,0.0,uk,3.0,6.0,3.0,9.0,98.0,1859.0,96.86,4.583537885860977,2.302585092994046,8.982998700823309,0.09179438688762834,2.2755460428919565,0.9944289693593314,0.48589216699533333
"Braddon, M. E",0.0,1.0,0.0,uk,3.0,6.0,1.0,7.0,230.0,1863.0,230.73,5.44557290082979,2.0794415416798357,6.824946221424359,0.029452147850620804,2.115259613098436,0.9924433249370277,0.573713711744
"Burnett, Frances Hodgson",0.0,0.0,1.0,us,2.0,0.0,7.0,7.0,165.0,1896.0,117.64,4.776093697829677,2.0794415416798357,8.09060621867474,0.06819459051479046,2.0823911924910616,0.9880952380952381,0.5511897447809999
"Hilton, James",0.0,1.0,0.0,uk,0.0,2.0,6.0,8.0,31.0,1931.0,40.6,3.728100167267218,2.1972245773362196,7.890430661003199,0.18967381396642305,2.0763219374204516,0.9822222222222222,0.335734435075
"Stratton-Porter, Gene",0.0,0.0,1.0,us,0.0,0.0,8.0,8.0,44.0,1915.0,39.15,3.6926224403927708,2.1972245773362196,8.298130278976357,0.2066782136731347,2.0703888056057194,0.9724264705882353,0.164173292113
"Caine, Hall",0.0,1.0,0.0,uk,1.0,4.0,3.0,7.0,101.0,1892.0,74.95,4.330075229041782,2.0794415416798357,7.579365695432948,0.09979415003861682,2.046179431338477,0.9865900383141762,0.7401848884819999
"Bacheller, Irving",0.0,0.0,1.0,us,0.0,0.0,7.0,7.0,70.0,1911.0,58.75,4.09016919081162,2.0794415416798357,6.676207834215709,0.11173569597013738,2.0199741675650005,0.9703153988868275,0.27665952112
"Kipling, Rudyard",0.0,1.0,0.0,uk,1.0,3.0,3.0,6.0,473.0,1899.0,345.02,5.846496576855376,1.9459101490553132,5.866253681300512,0.016953510436681443,2.0037282935149108,0.9751434034416826,0.48087131362700003
"Parker, Gilbert",0.0,0.0,1.0,ca,1.0,0.0,6.0,6.0,157.0,1900.0,111.88,4.726325307544559,1.9459101490553132,5.922172399622862,0.05246431962812599,1.956654474823769,0.9733333333333334,0.472060811571
"Hope, Anthony",0.0,1.0,0.0,uk,1.0,3.0,3.0,6.0,143.0,1898.0,104.41,4.657857508267098,1.9459101490553132,5.721820515023793,0.05428157209964703,1.9518696745547521,0.9709864603481625,0.626407971463
"Southworth, Emma Dorothy Eliza Nevitte",0.0,0.0,1.0,us,0.0,2.0,4.0,6.0,58.0,1862.0,57.77,4.073631520624559,1.9459101490553132,5.511152493533848,0.0937749275741679,1.8967551044023996,0.9871134020618557,0.309737521972
