author,is_other,is_uk,is_us,nationality,reviews,uklist,uslists,salesevidence,raw_num_vols,midcareer,num_vols,logvols,logsales,noisyprior,ratio,posterior,percentile,prestige
"Galsworthy, John",0.0,1.0,0.0,uk,2.0,1.0,4.0,5.0,226.0,1924.0,247.69,5.516207140913698,1.791759469228055,4.953563917565234,0.019918629287728636,1.854192548545614,0.9721189591078067,0.7241061677185
"Tolstoy, Leo",1.0,0.0,0.0,russian,1.0,4.0,1.0,5.0,297.0,1901.0,207.83,5.3415205238486845,1.791759469228055,5.741584771897127,0.02749406106353075,1.848193761170034,0.9643527204502814,0.43575561213299996
"Johnston, Mary",0.0,0.0,1.0,us,1.0,0.0,6.0,6.0,56.0,1902.0,39.64,3.7047528032702264,1.9459101490553132,5.5926214960976415,0.1376137179157884,1.8450578843885073,0.9624765478424016,0.37462797347300003
"Steinbeck, John",0.0,0.0,1.0,us,1.0,0.0,5.0,5.0,63.0,1942.0,104.77,4.6612669253399615,1.791759469228055,5.002138026204241,0.047292597392495424,1.8127558852845869,0.971830985915493,0.487783747705
"Ferber, Edna",0.0,0.0,1.0,us,1.0,0.0,5.0,5.0,66.0,1924.0,72.33,4.294969802105708,1.791759469228055,4.456619309241783,0.06077484398256898,1.7824076525444739,0.9628252788104089,0.671166865962
"Glasgow, Ellen Anderson Gholson",0.0,0.0,1.0,us,3.0,0.0,5.0,5.0,77.0,1906.0,58.31,4.082777925850635,1.791759469228055,5.225325780582495,0.08810193526525872,1.759868709217145,0.9524714828897338,0.5552716251926667
"Sedgwick, Anne Douglas",0.0,1.0,0.0,uk,1.0,0.0,5.0,5.0,50.0,1914.0,44.39,3.8152918164683745,1.791759469228055,5.611233816904427,0.12362268818912596,1.725155509338975,0.9446494464944649,0.76800636778
"Stevenson, Robert Louis",0.0,1.0,0.0,uk,1.0,3.0,1.0,4.0,477.0,1885.0,375.49,5.930891486462247,1.6094379124341003,3.8836571406845843,0.010315432390460793,1.7012634395997073,0.9688073394495413,0.7124617835789999
"Twain, Mark",0.0,0.0,1.0,us,1.0,2.0,2.0,4.0,367.0,1877.0,289.92,5.67304831528634,1.6094379124341003,3.8548809958787764,0.013250656523713654,1.6952697365382665,0.9669260700389105,0.6274968027350001
"Maugham, W. Somerset",0.0,1.0,0.0,uk,2.0,2.0,2.0,4.0,153.0,1935.0,217.13,5.385091215330075,1.6094379124341003,4.674104165952123,0.021428066593096425,1.6865630502913387,0.9538834951456311,0.628134137832
"Eliot, George",0.0,1.0,0.0,uk,9.0,2.0,2.0,4.0,220.0,1867.0,205.1,5.328361487896413,1.6094379124341003,4.162085209885436,0.02019449398294729,1.6845476484610888,0.9810874704491725,0.6725477422056667
Ouida,0.0,1.0,0.0,uk,3.0,3.0,1.0,4.0,211.0,1874.0,177.47,5.184420519867924,1.6094379124341003,4.441045280050871,0.024883987673283304,1.6789215205174264,0.9681908548707754,0.6816856101353332
"Hawthorne, Nathaniel",0.0,0.0,1.0,us,3.0,2.0,2.0,4.0,142.0,1855.0,149.5,5.01396308418893,1.6094379124341003,4.371503287223248,0.029046533469921917,1.6711977085394223,0.9711538461538461,0.7674714681429999
"Collins, Wilkie",0.0,1.0,0.0,uk,4.0,3.0,1.0,4.0,146.0,1859.0,144.31,4.978869391332604,1.6094379124341003,3.9141578871461684,0.026936603724080712,1.669449587622499,0.9721448467966574,0.51976526416575
"Chambers, Robert W",0.0,0.0,1.0,us,1.0,0.0,4.0,4.0,140.0,1912.0,117.64,4.776093697829677,1.6094379124341003,3.401932337280294,0.028674412822659253,1.658162595257489,0.9371534195933456,0.429395704548
"Wharton, Edith",0.0,0.0,1.0,us,5.0,0.0,4.0,4.0,117.0,1917.0,108.84,4.699024761459715,1.6094379124341003,3.649698150519712,0.03322740486634843,1.6532937944232093,0.9420289855072463,0.6069200127629999
"Buck, Pearl S",0.0,0.0,1.0,us,1.0,0.0,4.0,4.0,69.0,1931.0,90.37,4.514917197010529,1.6094379124341003,4.185777550801353,0.04581128981943037,1.6401997375948325,0.9488888888888889,0.9265881587360001
"Grant, James",0.0,1.0,0.0,uk,2.0,4.0,0.0,4.0,88.0,1859.0,86.98,4.477109515920573,1.6094379124341003,3.8400927489562564,0.043647337451196366,1.6372346894601377,0.9693593314763231,0.45428882373800006
"Wiggin, Kate Douglas Smith",0.0,0.0,1.0,us,1.0,1.0,3.0,4.0,117.0,1897.0,83.37,4.435211888177536,1.6094379124341003,3.322443604566464,0.03937944298407566,1.6338313614124342,0.9367588932806324,0.4283909758485
"Weyman, Stanley John",0.0,1.0,0.0,uk,0.0,3.0,1.0,4.0,113.0,1898.0,82.5,4.42484663185681,1.6094379124341003,4.011613465534713,0.04804327503634386,1.632969893745892,0.9361702127659575,0.1941178570525
"Holmes, Mary Jane",0.0,0.0,1.0,us,0.0,2.0,2.0,4.0,74.0,1877.0,58.45,4.085135623136791,1.6094379124341003,3.368098485163656,0.05665430589005309,1.600018658058078,0.9513618677042801,0.212480726608
"Stowe, Harriet Beecher",0.0,0.0,1.0,us,2.0,3.0,1.0,4.0,39.0,1854.0,40.86,3.7343307170178535,1.6094379124341003,4.524721745706223,0.10809177605604929,1.554705129079764,0.956081081081081,0.643251420454
"Alcott, Louisa May",0.0,0.0,1.0,us,1.0,2.0,2.0,4.0,43.0,1869.0,38.97,3.688129172723232,1.6094379124341003,3.8618285275389446,0.09661817682108943,1.5477454225119787,0.9570135746606335,0.40521277646799997
"Ford, Paul Leicester",0.0,0.0,1.0,us,1.0,0.0,4.0,4.0,47.0,1897.0,33.49,3.5406694269487495,1.6094379124341003,3.322807874737687,0.09634119671608253,1.523832108759705,0.9209486166007905,0.190273616955
"Black, William",0.0,1.0,0.0,uk,5.0,3.0,0.0,3.0,274.0,1876.0,221.32,5.404117785434249,1.3862943611198906,3.8942314926929296,0.017516334529925015,1.4920224563267503,0.9426877470355731,0.553882860518
"Besant, Walter",0.0,1.0,0.0,uk,3.0,3.0,0.0,3.0,201.0,1882.0,160.39,5.083823796047731,1.3862943611198906,2.646481855201593,0.016398053505183675,1.4799453310778594,0.9384328358208955,0.5569400154930001
"Hardy, Thomas",0.0,1.0,0.0,uk,4.0,3.0,0.0,3.0,180.0,1882.0,143.64,4.974247896643866,1.3862943611198906,2.9947915381904333,0.02070514061248917,1.474910982426521,0.9365671641791045,0.5570637025325
"Wells, H. G",0.0,1.0,0.0,uk,2.0,1.0,2.0,3.0,148.0,1907.0,114.2,4.746669748261791,1.3862943611198906,2.8028204779703465,0.024330038871270367,1.4626843867461568,0.9163498098859315,0.8184279995055
"Craik, Dinah Maria Mulock",0.0,1.0,0.0,uk,4.0,2.0,1.0,3.0,109.0,1858.0,104.82,4.661739537475985,1.3862943611198906,2.540979076295688,0.024012276283270538,1.4574336451171805,0.9491525423728814,0.5623226768645
"Du Maurier, George",0.0,1.0,0.0,uk,1.0,3.0,2.0,5.0,18.0,1894.0,12.77,2.6224923127405635,1.791759469228055,5.413676801762979,0.39315009453616406,1.4557762503117955,0.9206963249516441,0.491950424128
"Priestley, J.B",0.0,1.0,0.0,uk,1.0,2.0,1.0,3.0,69.0,1927.0,84.23,4.445353484534206,1.3862943611198906,2.5414397517974083,0.029818605559045034,1.44211101719663,0.9291497975708503,0.45808811378700004
"Blackmore, R. D",0.0,1.0,0.0,uk,3.0,2.0,1.0,3.0,92.0,1874.0,77.38,4.361568792771485,1.3862943611198906,2.604842044261157,0.03323350400945595,1.4353504214598107,0.9383697813121272,0.4946118465426667
"Roe, Edward Payson",0.0,0.0,1.0,us,0.0,1.0,2.0,3.0,90.0,1882.0,71.82,4.287990642747287,1.3862943611198906,3.022571239230523,0.04150743256290199,1.428995878768966,0.9291044776119403,0.41089830732533333
"Curwood, James Oliver",0.0,0.0,1.0,us,0.0,0.0,3.0,3.0,73.0,1918.0,69.8,4.259859000699674,1.3862943611198906,2.6430742147962882,0.03733155670616226,1.4264584772595383,0.9120879120879121,0.125011749329
"Wister, Owen",0.0,0.0,1.0,us,1.0,0.0,3.0,3.0,71.0,1902.0,50.26,3.936910720935925,1.3862943611198906,3.133361203763767,0.061126828009437514,1.3926195284347185,0.9099437148217636,0.510521525581
"Burroughs, Edgar Rice",0.0,0.0,1.0,us,0.0,3.0,0.0,3.0,54.0,1917.0,50.23,3.936325297951111,1.3862943611198906,2.7442988326850033,0.05356819895930126,1.3925497020254332,0.9057971014492754,0.11280856075053335
"Woolf, Virginia",0.0,1.0,0.0,uk,2.0,2.0,1.0,3.0,39.0,1923.0,40.95,3.7364784329132155,1.3862943611198906,4.036252710512043,0.0962157976284158,1.3667226360094553,0.912962962962963,0.8237211676214999
"Chase, Mary Ellen",0.0,0.0,1.0,us,1.0,0.0,3.0,3.0,26.0,1936.0,37.04,3.6386382376771897,1.3862943611198906,2.5901896631795154,0.06809121091428799,1.352551260774212,0.9181141439205955,0.656949761285
"Major, Charles",0.0,0.0,1.0,us,0.0,0.0,4.0,4.0,20.0,1898.0,14.6,2.747270914255491,1.6094379124341003,4.96723427356413,0.3184124534335981,1.3448391917710025,0.8974854932301741,0.298997156099
"King, Basil",0.0,0.0,1.0,us,0.0,0.0,3.0,3.0,40.0,1909.0,32.16,3.501344330267094,1.3862943611198906,3.3061838695065155,0.0997039767643702,1.3308484704142471,0.8981132075471698,0.555042218445
"Nicholson, Meredith",0.0,0.0,1.0,us,0.0,0.0,3.0,3.0,40.0,1908.0,31.99,3.49620448524049,1.3862943611198906,2.4648999630369066,0.07471657966162192,1.329993317898303,0.896421845574388,0.254081968513
"Parrish, Anne",0.0,0.0,1.0,us,1.0,0.0,3.0,3.0,23.0,1931.0,30.12,3.4378506993101907,1.3862943611198906,3.2517509103416575,0.10449071048655711,1.3200627849181492,0.9044444444444445,0.519219293438
"Glyn, Elinor",0.0,0.0,1.0,us,1.0,2.0,1.0,3.0,41.0,1904.0,29.7,3.4242626545931514,1.3862943611198906,3.1834506441749033,0.10369546072230956,1.3176913172309204,0.8962962962962963,0.545603179998
"Wilder, Thornton",0.0,0.0,1.0,us,1.0,0.0,3.0,3.0,20.0,1927.0,24.41,3.2351427973320726,1.3862943611198906,2.6486633764541576,0.10423704747950246,1.2822996658320902,0.8987854251012146,0.7541694662790001
"Yonge, Charlotte M",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,188.0,1865.0,182.88,5.214283370938027,1.0986122886681098,2.4612109695476585,0.013384875840481068,1.243077480231356,0.946987951807229,0.437428093254
"Thompson, Maurice",0.0,0.0,1.0,us,0.0,0.0,3.0,3.0,28.0,1900.0,19.95,3.0421386463681466,1.3862943611198906,1.9879937805064154,0.09489230455877878,1.2414304055399277,0.8857142857142857,0.326957975004
"Bennett, Arnold",0.0,1.0,0.0,uk,2.0,2.0,0.0,2.0,183.0,1907.0,141.21,4.957304838384605,1.0986122886681098,1.8660115869721396,0.013121521601660498,1.2327618216784888,0.8821292775665399,0.730471952327
"Evans, Augusta J",0.0,0.0,1.0,us,0.0,1.0,2.0,3.0,21.0,1870.0,19.0,2.995732273553991,1.3862943611198906,2.898341428181877,0.14491707140909385,1.2308687734269574,0.9373601789709173,0.223517832804
"Walpole, Hugh",0.0,1.0,0.0,uk,2.0,0.0,2.0,2.0,106.0,1926.0,126.31,4.846625057073554,1.0986122886681098,1.9119000662128156,0.015017673915739656,1.2275091441479624,0.8932038834951457,0.7666295318785001
"Page, Thomas Nelson",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,156.0,1900.0,111.17,4.720015577657132,1.0986122886681098,1.9038633582622795,0.016973017368835514,1.2208160494396811,0.8819047619047619,0.349293181611
"Trollope, Anthony",0.0,1.0,0.0,uk,1.0,1.0,1.0,2.0,108.0,1863.0,108.34,4.694462293466853,1.0986122886681098,2.1630687029514575,0.019782958688050644,1.2193701739685958,0.9370277078085643,0.561054940668
"Hewlett, Maurice",0.0,1.0,0.0,uk,2.0,1.0,1.0,2.0,142.0,1903.0,104.16,4.655482999861681,1.0986122886681098,1.862361933457929,0.017709793965936946,1.2170999806894236,0.8819188191881919,0.6023602974915
"Thurston, Katherine",0.0,1.0,0.0,ir,0.0,0.0,4.0,4.0,12.0,1903.0,8.8,2.2823823856765264,1.6094379124341003,4.208627329620221,0.42945176832859394,1.1980597949910068,0.8800738007380073,0.392530044447
"Hughes, Thomas",0.0,1.0,0.0,uk,2.0,2.0,1.0,3.0,17.0,1857.0,16.14,2.8414149131696336,1.3862943611198906,3.251017038548254,0.18967427296080827,1.193678057585217,0.935672514619883,0.648130050145
"Haggard, H. Rider",0.0,1.0,0.0,uk,1.0,1.0,1.0,2.0,93.0,1886.0,73.43,4.309859086371819,1.0986122886681098,1.613358909079419,0.021676191173981174,1.1931712226210114,0.8994413407821229,0.534054474485
"Buchan, John",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,69.0,1922.0,72.1,4.291828366755733,1.0986122886681098,1.389561589940317,0.019009050477979714,1.1917160360038426,0.8792792792792793,0.717878949903
"Hemingway, Ernest",0.0,0.0,1.0,us,2.0,0.0,2.0,2.0,47.0,1938.0,71.42,4.282482504337495,1.0986122886681098,2.7206003656099425,0.03756697549861837,1.190952966982713,0.8976377952755905,0.5485867177065
"Broughton, Rhoda",0.0,1.0,0.0,uk,5.0,2.0,0.0,2.0,82.0,1874.0,68.97,4.248066578757805,1.0986122886681098,2.343593311597977,0.03349425913388562,1.1880904339521108,0.9165009940357853,0.5806518639662
"Shute, Nevil",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,40.0,1944.0,67.62,4.228584037430304,1.0986122886681098,1.567282825298624,0.022840029514698688,1.1864328153631178,0.9152046783625731,0.242825321426
"Christie, Agatha",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,39.0,1942.0,64.86,4.187531276948218,1.0986122886681098,1.531114907636604,0.02324802471358342,1.1828501159555382,0.9042253521126761,0.43155613108199997
"Morley, Christopher",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,47.0,1932.0,62.63,4.1530850572447005,1.0986122886681098,1.724083847144672,0.02709545571498777,1.1797479764339067,0.8837209302325582,0.666521074304
"Warner, Susan",0.0,0.0,1.0,us,2.0,1.0,1.0,2.0,55.0,1863.0,55.17,4.028382806544341,1.0986122886681098,1.6272002867479265,0.028969205745912878,1.167752885580609,0.9269521410579346,0.6406163016674999
"Williams, Ben Ames",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,29.0,1944.0,49.02,3.912422925449473,1.0986122886681098,2.3045831493570077,0.04607323369366269,1.155460950456942,0.9064327485380117,0.25219688187899997
"Orwell, George",0.0,1.0,0.0,uk,2.0,2.0,0.0,2.0,26.0,1947.0,48.05,3.892840186011372,1.0986122886681098,2.152090298567723,0.04387543931840414,1.1532713217413606,0.906896551724138,0.5555405271115
"Forester, C. S. (Cecil Scott)",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,35.0,1931.0,45.84,3.8467375387295166,1.0986122886681098,2.1071862727293875,0.0449868973682619,1.1479820949565784,0.8733333333333333,0.38152544133199995
"Milne, A.A",0.0,1.0,0.0,uk,1.0,2.0,0.0,2.0,28.0,1931.0,36.67,3.62886402170395,1.0986122886681098,1.5175305961676946,0.04028485787543654,1.1203077530059466,0.8711111111111111,0.6049868872199999
"Bottome, Phyllis",0.0,1.0,0.0,uk,0.0,0.0,2.0,2.0,28.0,1931.0,36.67,3.62886402170395,1.0986122886681098,1.5776536644416663,0.04188090428568267,1.1203077530059466,0.8711111111111111,0.7794686286220001
"Morgan, Charles",0.0,1.0,0.0,uk,0.0,0.0,2.0,2.0,24.0,1936.0,34.19,3.5607619513334936,1.0986122886681098,1.909285792169418,0.054256487416010746,1.1107018202603227,0.8759305210918115,0.75853503589
"Mason, A. E. W",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,48.0,1901.0,33.59,3.5435646229490776,1.0986122886681098,1.4111866559216835,0.04079753269504722,1.1082009653236082,0.8649155722326454,0.432858108115
"Grant, Robert",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,47.0,1895.0,33.58,3.5432754802551445,1.0986122886681098,2.620270973251085,0.07577417505063867,1.1081586560056689,0.8664047151277013,0.541000017648
"Aldrich, Bess Streeter",0.0,0.0,1.0,us,0.0,0.0,2.0,2.0,23.0,1932.0,30.65,3.4547381485901854,1.0986122886681098,1.1409470968355406,0.03604888141660476,1.0947906774979121,0.8627906976744186,0.38216563411399995
"Wodehouse, P. G",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,25.0,1926.0,29.79,3.427189961936409,1.0986122886681098,1.6612486675704283,0.05395416263625945,1.0904612274110845,0.8563106796116505,0.319781193483
"Smith, Betty",0.0,0.0,1.0,us,1.0,0.0,3.0,3.0,6.0,1945.0,10.71,2.460443177609626,1.3862943611198906,2.9435732700065813,0.251372610589802,1.0884971993429688,0.8780487804878049,0.572256876642
"Mathers, Helen",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,34.0,1875.0,27.66,3.3555024224000256,1.0986122886681098,2.2735232173598208,0.07932739767480185,1.0788090728052362,0.903353057199211,0.526471350131
"Poole, Ernest",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,30.0,1915.0,26.69,3.3210713371828704,1.0986122886681098,1.4300305355951186,0.05164429525442826,1.0730119683659645,0.8290441176470589,0.5094668183
"Grahame, Kenneth",0.0,1.0,0.0,uk,1.0,2.0,0.0,2.0,33.0,1895.0,23.58,3.201933104137889,1.0986122886681098,2.1129908409809115,0.08596382591460178,1.0519299780615812,0.8565815324165029,0.7480507881630001
"Shorthouse, J. H",0.0,1.0,0.0,uk,1.0,2.0,0.0,2.0,30.0,1880.0,23.43,3.195811885269649,1.0986122886681098,1.8968330640202902,0.07764359656243514,1.0508034836570306,0.8874296435272045,0.520848947976
"Edmonds, Walter D",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,17.0,1933.0,22.74,3.167161389181522,1.0986122886681098,2.028213279988919,0.08543442628428473,1.0454741444712097,0.8486997635933806,0.34982754019699996
"Crane, Stephen",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,31.0,1895.0,22.15,3.1419947805322432,1.0986122886681098,2.337103052759699,0.10095477549717924,1.0407154880240632,0.8526522593320236,0.8103194989210001
"Garvice, Charles",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,27.0,1879.0,20.82,3.0828269804049246,1.0986122886681098,1.9091733311359314,0.08749648630320492,1.0292415310842111,0.8845437616387337,0.5979952037690001
"Brontë, Charlotte",0.0,1.0,0.0,uk,1.0,2.0,0.0,2.0,16.0,1853.0,17.22,2.9025198918318122,1.0986122886681098,2.478549855881342,0.13603456947757092,0.9917906108322204,0.9106529209621993,0.571698632961
"Ruck, Berta",0.0,1.0,0.0,uk,0.0,2.0,0.0,2.0,16.0,1923.0,16.8,2.8791984572980396,1.0986122886681098,1.2581854787634716,0.070684577458622,0.9866738150687266,0.8314814814814815,0.656960785631
"Wallace, Lew",0.0,0.0,1.0,us,0.0,1.0,1.0,2.0,20.0,1886.0,15.79,2.8207834710894493,1.0986122886681098,2.542856935460697,0.15145068108759363,0.9735855502435737,0.8696461824953445,0.537501735384
"Mitchell, Margaret",0.0,0.0,1.0,us,1.0,2.0,2.0,4.0,3.0,1936.0,4.27,1.6620303625532709,1.6094379124341003,4.072493264113285,0.7727691203251015,0.9637581449230155,0.8436724565756824,0.545224533947
"Rawlings, Marjorie Kinnan",0.0,0.0,1.0,us,1.0,0.0,2.0,2.0,11.0,1933.0,14.71,2.75429745226753,1.0986122886681098,1.2804735709569388,0.08150691094569948,0.958220533993105,0.8321513002364066,0.29033024077799996
"Harte, Bret",0.0,0.0,1.0,us,3.0,0.0,1.0,1.0,465.0,1889.0,363.25,5.897840445075314,0.6931471805599453,0.9259687510720581,0.00254212423080867,0.9379192017839236,0.8697247706422019,0.567250576585
"Conrad, Joseph",0.0,1.0,0.0,uk,1.0,0.0,1.0,1.0,388.0,1913.0,339.51,5.830444493733943,0.6931471805599453,0.3039675819906915,0.0008926832750600321,0.9368236892295617,0.8113553113553114,0.713731083473
"Davis, Richard Harding",0.0,0.0,1.0,us,1.0,0.0,1.0,1.0,211.0,1897.0,150.36,5.019661105303568,0.6931471805599453,0.662307831176217,0.004375712415276275,0.9163357157368879,0.8280632411067194,0.6787719252300001
"Atherton, Gertrude Franklin Horn",0.0,0.0,1.0,us,0.0,0.0,1.0,1.0,158.0,1907.0,121.91,4.811452380226889,0.6931471805599453,1.8141332841112834,0.014759850981297562,0.908078320439042,0.8174904942965779,0.582767102118
"Norris, Kathleen Thompson",0.0,0.0,1.0,us,0.0,0.0,1.0,1.0,95.0,1922.0,99.28,4.607966273290093,0.6931471805599453,1.3717793482444798,0.01367949090790267,0.8983718521155187,0.818018018018018,0.48577171828300003
"O'Hara, John",0.0,0.0,1.0,us,1.0,0.0,1.0,1.0,52.0,1943.0,87.91,4.487624622133048,0.6931471805599453,0.22856481462437017,0.002570743612916097,0.8917592176895293,0.8428571428571429,0.717566923219
"Sinclair, Upton",0.0,0.0,1.0,us,2.0,0.0,1.0,1.0,85.0,1920.0,86.73,4.474263916140292,0.6931471805599453,1.440690429223571,0.01642186742532282,0.8909816476880614,0.8029197080291971,0.390514423098
"Huxley, Aldous",0.0,1.0,0.0,uk,1.0,0.0,1.0,1.0,60.0,1934.0,85.19,4.456554161659308,0.6931471805599453,1.1626668646236176,0.013489579587233062,0.8899371062928284,0.8173076923076923,0.7174208143690001
"Payn, James",0.0,1.0,0.0,uk,0.0,1.0,0.0,1.0,106.0,1877.0,83.73,4.439469730210373,0.6931471805599453,1.2676371305375103,0.01496090086790405,0.8889142982728919,0.8696498054474708,0.4382022098175
"Harris, Joel Chandler",0.0,0.0,1.0,us,1.0,0.0,1.0,1.0,107.0,1902.0,75.75,4.340553386467307,0.6931471805599453,0.686863240104951,0.008949358177263205,0.8826906970828301,0.8198874296435272,0.340777211581
"Train, Arthur Cheney",0.0,0.0,1.0,us,0.0,0.0,1.0,1.0,53.0,1936.0,75.5,4.33729074083249,0.6931471805599453,1.1334047729747645,0.014815748666336791,0.8824764105671998,0.8213399503722084,0.5146773628279999
"Ellis, Edward Sylvester",0.0,0.0,1.0,us,0.0,0.0,1.0,1.0,99.0,1898.0,72.28,4.294287720365875,0.6931471805599453,1.9576329956831802,0.026714424067728986,0.8795964867638574,0.8085106382978723,0.39888141568499996
"Sinclair, May",0.0,1.0,0.0,uk,1.0,0.0,1.0,1.0,66.0,1922.0,68.97,4.248066578757805,0.6931471805599453,1.1609642263652007,0.016592314225599553,0.876383549180319,0.8018018018018018,0.659347325219
