word,docfreq
said,2297
had,1768
was,1585
eyes,1369
face,1208
went,1200
came,1172
head,1164
looked,1159
hand,1134
made,1078
took,1039
thought,1015
knew,1007
asked,968
saw,951
turned,937
felt,933
hands,924
is,888
found,873
was-told,851
told,849
was-asked,846
mind,822
sat,813
voice,810
come,803
did,801
left,790
heart,786
gave,786
have,779
heard,768
stood,756
father,752
began,728
put,727
life,703
got,702
was-see,701
mother,690
know,688
go,683
spoke,674
way,655
lips,652
see,637
do,624
has,614
cried,612
been,604
say,602
called,596
replied,593
feet,589
be,587
was-tell,586
arms,584
seen,581
returned,581
going,577
added,575
gone,559
held,553
answered,549
seemed,548
laughed,539
hair,538
friend,534
arm,531
think,530
room,527
smiled,517
own,515
continued,512
walked,507
look,506
kept,505
take,504
wanted,499
name,493
side,481
drew,480
done,478
says,476
entered,476
tried,473
brought,470
read,466
taken,462
opened,453
was-left,452
let,448
passed,448
shook,445
loved,444
met,442
make,441
rose,441
friends,432
exclaimed,425
get,423
were,421
was-saw,420
chair,417
words,415
was-cried,415
tell,407
stopped,406
thoughts,404
back,404
started,403
used,401
mouth,400
wished,399
home,392
set,392
love,390
caught,377
ran,377
received,376
was-replied,374
house,374
followed,367
remembered,365
able,365
manner,364
watched,362
sent,361
fingers,360
eye,359
was-seen,357
help,355
paused,353
sitting,351
raised,351
reached,350
presence,349
feel,348
appeared,347
give,347
want,346
shoulders,346
coming,346
speak,345
hat,345
whispered,343
lay,343
like,343
liked,343
fell,343
was-take,342
find,341
was-found,338
laid,337
given,336
lived,336
was-met,335
place,334
work,333
knees,333
listened,331
lost,329
cheeks,329
looking,328
was-took,325
shoulder,323
wrote,322
was-brought,322
was-ask,321
moved,320
threw,318
learned,318
known,316
hear,315
return,312
was-know,312
was-put,309
companion,307
waited,307
was-exclaimed,307
neck,304
knows,304
was-followed,302
leaned,301
repeated,301
was-called,300
believed,300
standing,300
glad,299
broke,298
pocket,298
talked,297
child,291
glanced,290
forehead,290
was-loved,289
understand,288
leave,288
cheek,288
ears,287
meant,284
body,284
part,283
time,283
's,283
nodded,283
led,282
finished,282
sure,281
remarked,279
dress,277
noticed,274
answer,274
stepped,273
care,271
soul,267
was-meet,266
carried,265
position,264
wondered,264
hoped,264
explained,263
attention,262
throat,261
breath,261
breast,260
appearance,260
sighed,259
family,259
murmured,259
dropped,258
doing,256
ear,254
expected,254
seat,254
thinking,254
wore,253
was-made,249
spent,249
arrived,248
happy,248
decided,248
turn,247
understood,247
visit,247
hesitated,247
showed,245
talk,244
nature,242
feelings,242
was-gone,242
wants,241
bed,241
was-struck,240
observed,240
was-have,239
grew,238
wish,238
declared,238
was-taken,236
promised,235
keep,235
was-led,234
much,233
kissed,233
looks,233
tone,233
was-had,232
hurried,231
pulled,231
lifted,231
was-leave,230
does,227
feared,227
teeth,226
died,226
recognised,226
ready,225
door,225
placed,224
letter,224
silent,223
afraid,223
was-knew,223
discovered,222
stared,220
believe,219
thinks,218
was-find,218
refused,218
coat,218
good,217
gazed,217
considered,216
insisted,216
forgotten,215
smile,215
realised,215
clothes,214
person,214
was-marry,213
was-sent,213
brain,213
suggested,213
married,213
closed,213
picked,212
tongue,211
aware,211
story,211
comes,211
stay,211
nose,210
character,209
inquired,209
was-love,208
forgot,208
pointed,207
brow,207
offered,206
was-known,205
dead,205
remained,204
spoken,203
paid,202
was-given,201
master,201
figure,201
saying,201
was-watched,201
was-kissed,200
pushed,200
managed,198
strength,195
horse,194
call,193
ask,193
was-bring,192
day,192
bear,191
talking,191
right,190
foot,190
sprang,190
sought,189
trying,189
was-got,189
remember,189
accepted,189
pressed,188
