1800	0.294	0.605	0.746	0.038	0.345	0.483
1801	0.212	0.418	0.576	0.207	0.267	0.332
1802	0.448	0.608	0.658	0.381	0.381	0.381
1803	0.178	0.495	0.581	0.229	0.448	0.729
1804	0.238	0.452	0.609	0.285	0.354	0.446
1805	0.428	0.611	0.805	0.121	0.184	0.248
1806	0.361	0.473	0.590	0.196	0.292	0.420
1807	0.327	0.439	0.575	0.083	0.397	0.494
1808	0.417	0.545	0.697	0.280	0.326	0.382
1809	0.336	0.456	0.563	0.121	0.225	0.322
1810	0.346	0.432	0.529	0.186	0.361	0.508
1811	0.403	0.691	0.864	0.229	0.423	0.566
1812	0.376	0.530	0.639	0.144	0.193	0.387
1813	0.385	0.500	0.579	0.304	0.348	0.491
1814	0.451	0.551	0.635	0.000	0.240	0.667
1815	0.317	0.391	0.486	0.218	0.327	0.414
1816	0.293	0.469	0.587	0.169	0.246	0.337
1817	0.305	0.437	0.576	0.188	0.375	0.458
1818	0.410	0.524	0.634	0.169	0.331	0.464
1819	0.360	0.455	0.577	0.180	0.267	0.373
1820	0.376	0.517	0.651	0.181	0.274	0.374
1821	0.462	0.580	0.703	0.156	0.223	0.296
1822	0.315	0.446	0.562	0.248	0.327	0.419
1823	0.336	0.472	0.633	0.218	0.273	0.342
1824	0.414	0.481	0.566	0.222	0.276	0.326
1825	0.417	0.553	0.682	0.225	0.268	0.313
1826	0.410	0.480	0.543	0.179	0.229	0.286
1827	0.423	0.514	0.593	0.239	0.292	0.345
1828	0.367	0.469	0.558	0.235	0.296	0.361
1829	0.438	0.560	0.632	0.213	0.246	0.281
1830	0.419	0.488	0.556	0.233	0.277	0.331
1831	0.474	0.563	0.644	0.211	0.247	0.287
1832	0.380	0.434	0.492	0.225	0.281	0.324
1833	0.430	0.488	0.543	0.220	0.265	0.320
1834	0.429	0.536	0.627	0.213	0.259	0.309
1835	0.449	0.491	0.531	0.229	0.276	0.320
1836	0.429	0.519	0.587	0.260	0.323	0.393
1837	0.414	0.518	0.602	0.190	0.233	0.275
1838	0.420	0.474	0.534	0.256	0.317	0.377
1839	0.429	0.523	0.601	0.209	0.261	0.316
1840	0.435	0.511	0.591	0.197	0.234	0.285
1841	0.433	0.489	0.525	0.226	0.265	0.308
1842	0.426	0.512	0.583	0.227	0.288	0.364
1843	0.344	0.421	0.501	0.160	0.198	0.241
1844	0.362	0.460	0.545	0.210	0.244	0.277
1845	0.356	0.422	0.465	0.247	0.296	0.350
1846	0.503	0.556	0.600	0.203	0.245	0.297
1847	0.482	0.593	0.680	0.271	0.350	0.423
