1986	0.264	0.272	0.280
1987	0.270	0.279	0.287
1988	0.271	0.278	0.285
1989	0.277	0.285	0.293
1990	0.275	0.283	0.289
1991	0.269	0.278	0.286
1992	0.274	0.282	0.289
1993	0.280	0.288	0.295
1994	0.283	0.290	0.298
1995	0.278	0.285	0.293
1996	0.279	0.286	0.294
1997	0.275	0.282	0.289
1998	0.281	0.288	0.295
1999	0.287	0.294	0.302
2000	0.272	0.280	0.287
2001	0.278	0.285	0.291
2002	0.267	0.278	0.287
2003	0.270	0.278	0.285
2004	0.276	0.282	0.289
2005	0.278	0.285	0.291
2006	0.279	0.286	0.293
2007	0.280	0.286	0.292
