,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
56289,mdp.39076002520802|ThomasTrecarrel,mdp.39076002520802,1940,m,"Goudge, Elizabeth,","Smoky house, | $c: by Elizabeth Goudge, illustrated by Richard Floethe.",f,,1940,m,0
48694,uc1.$b797653|Judson,uc1.$b797653,1927,m,"Rinehart, Mary Roberts,","Lost ecstasy; | a novel, | $c: by Mary Roberts Rinehart.",f,,1927,m,0
32705,14391|Jim,14391,1887,m,"Hardy, Iza Duffus.",Love in idleness;,f,,1887,m,0
73899,pst.000060348463|Richard,pst.000060348463,1982,m,"Penman, Sharon Kay.",The sunne in splendour / | $c: Sharon Kay Penman.,f,,1982,m,0
45882,uc2.ark+=13960=t7kp7xj8r|Reuben,uc2.ark+=13960=t7kp7xj8r,1916,m,"Kaye-Smith, Sheila.",Sussex gorse,f,,1916,m,0
29000,6081|Ainslie,6081,1872,m,"Manning, Anne,",The lady of limited income,f,,1872,m,0
49206,mdp.39015059406051|Andy,mdp.39015059406051,1926,m,"Ostenso, Martha,",The dark dawn / | $c: by Martha Ostenso.,f,,1926,m,0
29838,14605|Redfern,14605,1878,m,"Armitt, Annie.",The garden at Monkholme,f,,1878,m,0
44401,uc2.ark+=13960=t0ft8q540|Mr.Evans,uc2.ark+=13960=t0ft8q540,1913,m,"Johnson, E. Pauline,",The moccasin maker,f,,1913,m,0
13747,14532|LordDelmore,14532,1835,m,"Miss. Cathcart,",The heir of Mordaunt,f,,1835,m,0
29155,11793|EarlDeCourcy,11793,1875,m,"Fleming, May Agnes,",The gypsy queen's vow,f,,1875,m,0
57228,uc1.b3888665|Caesar,uc1.b3888665,1949,m,"Brentano, Frances.","Big cats, | kings of the jungle in fact and fiction; | $c: with an introd. by W. Adolphe Roberts.",f,,1949,m,0
24238,3311|Franz,3311,1868,m,"Baroness, Tautphoeus, Jemima Montgomery,",The initials,f,,1868,m,0
4658,14076|St.Julien,14076,1812,m,"Stanhope, Louisa Sidney.",The confessional of Valombre,f,,1812,m,0
36929,3701|Jeffrey,3701,1891,m,"Ireland, Annie Elizabeth (Nicholson),",Life of Jane Welsh Carlyle,f,,1891,m,0
9397,11975|Lightfoot,11975,1820,m,"Edgeworth, Maria,","The parent's assistant; or, Stories for children",f,,1820,m,0
12696,10248|Mr.Holloway,10248,1835,m,"Edgeworth, Maria,",Tales and novels,f,,1835,m,0
25833,8674|Maurice,8674,1862,m,"Yonge, Charlotte M. (Charlotte Mary),","The young step-mother, or, A chronicle of mistakes",f,,1862,m,0
68938,mdp.39015008692561|NelloD'Angeli,mdp.39015008692561,1977,m,"Morante, Elsa,",History : | a novel / | $c: Elsa Morante ; translated from the Italian by William Weaver.,f,,1977,m,0
52722,mdp.39015000574577|DonNarciso,mdp.39015000574577,1933,m,"Wylie, Elinor,",Collected prose of Elinor Wylie.,f,,1933,m,0
9835,13695|Grandison,13695,1820,m,"Roche, Regina Maria,",The Munster cottage boy,f,,1820,m,0
28986,12316|Bob,12316,1877,m,"Victor, Frances Fuller,",The new Penelope,f,,1877,m,0
8296,14711|Mr.Chesterville,14711,1827,m,"Spence, Elizabeth Isabella,","Dame Rebecca Berry; or, Court scenes in the reign of Charles the Second",f,,1827,m,0
45723,uc2.ark+=13960=t9b56fc15|Cedric,uc2.ark+=13960=t9b56fc15,1910,m,"Burnett, Frances Hodgson,",Little Lord Fauntleroy,f,,1910,m,0
40242,mdp.39015064564498|Jillings,mdp.39015064564498,1903,m,"Prichard, K. (Kate)",Roving hearts,f,,1903,m,0
44381,uc2.ark+=13960=t8x923w23|WilliamPerkins,uc2.ark+=13960=t8x923w23,1917,m,"(Patricia Ethel Stonehouse) Scott, P. E. S.",Land o' the dawning,f,,1917,m,0
12083,5281|Hutchinson,5281,1834,m,"Lady Scott, (Caroline Lucy),",Trevelyan,f,,1834,m,0
