volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
1004|Barbara,1887,1887,0,1887,f,,0.9999999999999996,0.606052483528,1,1,"Arthur, T. S. (Timothy Shay),",Heroes of the household,f
10063|Marcella,1893,1893,0,1893,f,,1.0000000000000007,0.578684548513,1,1,"Gissing, George,",Born in exile,f
10094|LukeSterling,1874,1874,0,1874,m,,0.9999999999999993,0.439244762432,0,1,"Arthur, T. S. (Timothy Shay),",Woman to the rescue,m
10121|Rosalie,1827,1827,0,1827,f,,0.9999999999999987,0.507835081408,1,1,"Banim, John,",Tales,f
10124|Dinny,1830,1830,0,1830,m,,0.999999999999998,0.333034489725,0,1,"Banim, John,",The denounced,m
10124|Mr.Donovan,1830,1830,0,1830,m,,1.000000000000001,0.532042199373,0,1,"Banim, John,",The denounced,m
10133|Mohammed,1899,1899,0,1899,m,,1.000000000000001,0.514584501965,0,1,"Caunter, Hobart,",The romance of history: India,m
10142|Amabel,1828,1828,0,1828,f,,1.0000000000000002,0.701186305256,1,1,"Tayler, Charles B. (Charles Benjamin),","A fireside book, or, The account of a Christmas spent at Old Court",f
10142|DeClifford,1828,1828,0,1828,m,,0.9999999999999987,0.46076767114,0,1,"Tayler, Charles B. (Charles Benjamin),","A fireside book, or, The account of a Christmas spent at Old Court",m
10142|Katherine,1828,1828,0,1828,f,,0.9999999999999996,0.513500281431,1,1,"Tayler, Charles B. (Charles Benjamin),","A fireside book, or, The account of a Christmas spent at Old Court",f
10151|Mr.Scott,1849,1849,0,1849,m,,1.0,0.60866824034,0,1,"Senior, Henry.",Charles Vernon;,m
10166|Pierre,1854,1854,0,1854,m,,1.0000000000000013,0.476887607235,0,1,"Kennedy, John Pendleton,",Kennedy's works,m
10170|Harding,1837,1837,0,1837,m,,1.000000000000001,0.455879810403,0,1,"Simms, William Gilmore,","Martin Faber, the story of a criminal;",m
10170|Mary,1837,1837,0,1837,f,,0.9999999999999988,0.645833712157,1,1,"Simms, William Gilmore,","Martin Faber, the story of a criminal;",f
10201|Harry,1857,1857,0,1857,m,,1.0,0.533449506027,0,1,"Scott, Walter, Sir,",The black dwarf ; A legend of Montrose,m
10207|Ragusa,1889,1889,0,1889,m,,0.9999999999999992,0.384455186456,0,1,"Verne, Jules,",Mathias Sandorf,m
10209|Thomas,1858,1858,0,1858,m,,1.0,0.318921827701,0,1,"Maitland, James A.",Sartaroe,m
10222|Mrs.Blatherwick,1850,1850,0,1850,f,,0.9999999999999996,0.480609246233,1,1,"Old Sailor,",Jem Bunt,f
10222|Tom,1850,1850,0,1850,m,,0.9999999999999998,0.51234866464,0,1,"Old Sailor,",Jem Bunt,m
1023|Samantha,1887,1887,0,1887,f,,0.9999999999999993,0.500424099035,1,1,"Frederic, Harold.",Seth's brother's wife,f
10242|Blanche,1830,1830,0,1830,f,,1.0000000000000007,0.569042481316,1,1,"Neele, Henry,",The tales of the late Henry Neele,f
10247|Paddy,1830,1830,0,1830,m,,1.0000000000000004,0.355181719653,0,1,"Carleton, William,",Traits and stories of the Irish peasantry,m
10275|Edith,1892,1892,0,1892,f,,0.9999999999999978,0.593323785202,1,1,"Scott, Walter,",The betrothed ;,f
