word,docfreq
said,2200
had,1760
was,1578
eyes,1285
hand,1125
face,1117
head,1112
looked,1080
thought,1076
came,1070
went,1031
made,1018
took,1014
knew,1009
felt,938
saw,930
is,905
mind,879
heart,869
father,861
turned,850
told,850
asked,848
mother,845
found,840
hands,835
have,834
voice,817
left,811
did,806
was-told,801
heard,769
come,758
gave,748
sat,743
life,738
was-asked,733
put,707
go,702
stood,699
has,679
know,677
was-see,673
spoke,670
began,655
way,652
be,639
do,625
been,621
replied,606
called,606
returned,604
see,599
arms,590
say,589
friend,588
got,587
own,587
going,585
lips,577
arm,575
seen,572
was-tell,570
added,566
continued,545
hair,536
gone,516
seemed,515
cried,513
wanted,510
done,504
entered,503
think,496
look,495
wished,494
room,494
held,493
answered,493
brought,492
feet,492
smiled,485
take,485
says,483
name,479
walked,476
make,475
tried,473
taken,470
drew,467
loved,466
friends,466
let,462
was-cried,457
was-replied,457
received,447
laughed,446
was-left,445
read,438
met,437
side,437
passed,437
exclaimed,435
eye,432
opened,426
words,426
kept,424
stopped,423
tell,422
started,419
were,418
was-saw,417
thoughts,416
home,415
set,413
get,405
house,404
rose,399
love,398
used,396
return,395
feel,394
appeared,390
place,389
shook,383
give,376
lived,375
mouth,371
was-seen,371
feelings,371
chair,370
followed,369
threw,369
liked,364
given,360
presence,356
find,355
manner,354
was-take,351
was-exclaimed,351
child,351
caught,348
back,347
watched,345
was-found,345
leave,345
want,345
family,343
paused,343
like,343
speak,343
able,342
attention,342
time,339
listened,338
looking,337
believed,335
remembered,335
help,335
sent,333
reached,333
fingers,331
was-met,330
was-gone,327
soul,327
sure,325
cheek,324
hear,320
work,320
hoped,319
talked,318
was-brought,318
cheeks,318
shoulder,317
was-called,316
companion,316
whispered,315
ran,315
lost,315
much,314
answer,312
shoulders,312
wrote,312
neck,311
sitting,311
moved,310
was-loved,310
lay,305
known,305
knows,304
arrived,304
was-followed,304
fell,300
coming,300
raised,300
knees,299
leaned,299
laid,298
was-ask,296
meant,295
dress,293
looks,292
standing,291
was-took,291
wish,290
promised,289
visit,289
expected,286
turn,286
part,286
was-know,285
care,285
hat,283
learned,283
waited,282
ear,282
was-meet,279
glanced,277
repeated,276
was-put,276
glad,275
believe,271
spent,271
appearance,269
doing,268
happy,268
person,264
body,259
does,258
ears,258
bed,257
carried,257
character,257
understood,256
sighed,255
observed,255
was-leave,254
led,253
considered,252
letter,248
wore,248
understand,248
dropped,246
forehead,244
was-led,244
declared,244
was-made,243
remarked,243
finished,242
's,239
hesitated,239
seat,238
pocket,238
was-had,238
aware,237
grew,237
bosom,236
breath,235
bear,235
tone,235
death,235
power,235
died,233
nature,232
wondered,232
noticed,232
feared,232
pressed,231
marriage,230
wants,230
placed,230
forgot,229
master,229
explained,229
stepped,229
children,229
was-known,228
breast,228
absence,228
offered,227
was-have,227
was-love,227
stay,224
sought,224
broke,222
lifted,221
departure,221
nodded,221
thinks,221
refused,220
door,220
throat,219
smile,219
was-struck,217
good,217
was-marry,217
married,217
decided,217
afraid,216
showed,216
talk,216
was-given,216
inquired,215
comes,215
suffered,214
was-sent,214
was-taken,214
joined,214
conduct,214
ready,213
spirits,213
silent,213
ask,211
forgotten,211
temper,211
keep,211
wishes,210
age,210
was-knew,210
saying,209
cousin,208
pushed,208
tears,207
was-find,207
was-bring,207
arrival,207
discovered,204
was-continued,204
opinion,204
remained,204
happiness,203
recognised,202
countenance,201
features,201
reply,201
remember,201
pulled,200
brow,200
insisted,199
days,199
teeth,198
was-added,198
changed,198
parents,198
was-watched,198
call,198
uncle,197
having,197
paid,197
health,196
kissed,196
walk,196
dared,196
position,195
spirit,195
gazed,195
stared,193
intended,193
murmured,192
realised,192
account,192
was-married,192
hated,191
needed,191
spoken,190
hurried,190
