,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
18433,8807|Mrs.Dwight,8807,1840,f,"Dwight, H. G. O. (Harrison Gray Otis),",Memoir of Mrs. Elizabeth B. Dwight,m,,1840,f,0
23554,7505|Mary,7505,1854,f,"(Henry John), Coke, Henry J.","High and low; or, Life's chances and changes",m,,1854,f,0
50404,uc2.ark+=13960=t6639mh8s|Margie,uc2.ark+=13960=t6639mh8s,1922,f,"Beach, Rex,",Flowing gold,m,,1922,f,0
47009,mdp.39015012314137|Mrs.Morton,mdp.39015012314137,1911,f,"Sir, Scott, James George,",Wholly without morals,m,,1911,f,0
35669,6447|Mrs.Catherine,6447,1883,f,"Thackeray, William Makepeace,",Works,m,,1883,f,0
70267,mdp.39015000615511|Victoria,mdp.39015000615511,1976,f,"Smith, Jonathan,",Wilfred and Eileen / | $c: Jonathan Smith.,m,,1976,f,0
59347,uc1.$b105475|Elvira,uc1.$b105475,1940,f,"Storm, Hans Otto,","Count ten, | $c: by Hans Otto Storm.",m,,1940,f,0
23256,11284|Lillian,11284,1850,f,"Kingsley, Charles,","Alton Locke, tailor and poet",m,,1850,f,0
63746,uc1.$b243589|Auriol,uc1.$b243589,1950,f,"Houghton, Claude,",Birthmark / | $c: by Claude Houghton.,m,,1950,f,0
30315,14558|Mrs.Alick,14558,1871,f,"Yates, Edmund Hodgson,",Dr. Wainwright's patient,m,,1871,f,0
22079,7914|Betsey,7914,1852,f,"Cymon,",Hits and dashes,m,,1852,f,0
10705,13891|Julia,13891,1827,f,"Scargill, William Pitt,",Blue-stocking Hall,m,,1827,f,0
31679,12138|Mrs.Tristram,12138,1877,f,"James, Henry,",The American,m,,1877,f,0
18484,285|Isabella,285,1847,f,"Bryant, John Delavan,",Pauline Seward,m,,1847,f,0
62853,inu.39000003100059|Mrs.Cameron,inu.39000003100059,1956,f,"Stow, Randolph,",A haunted land.,m,,1956,f,0
46219,njp.32101066385319|Mrs.LoraRewbush,njp.32101066385319,1914,f,"Tarkington, Booth,",Penrod,m,,1914,f,0
71669,mdp.39076006851732|Reiko,mdp.39076006851732,1970,f,"Tytell, John.",Affinities; | a short story anthology. | $c: Edited by John Tytell and Harold Jaffe.,m,,1970,f,0
74411,uc1.32106005335945|Mrs.Pell,uc1.32106005335945,1982,f,"MacDonald, John D. (John Dann),",The good old stuff : | 13 early stories / | $c: John D. MacDonald ; edited by Martin H. Greenberg ... [et al.].,m,,1982,f,0
46314,mdp.39015004743947|Amy,mdp.39015004743947,1915,f,"Bennett, Arnold,",These twain,m,,1915,f,0
