volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
10266|LadyAnne,1835,1835,0,1835,f,,0.9999999999999981,0.651610012539,1,1,"Edgeworth, Maria,",Tales and novels,f
10266|LadyNorton,1835,1835,0,1835,f,,0.9999999999999998,0.773335155986,1,1,"Edgeworth, Maria,",Tales and novels,f
10268|Mrs.Clanwaring,1872,1872,0,1872,f,,1.0000000000000002,0.196572511521,1,1,"Wood, Henry, Mrs.,",Dene hollow,f
10280|Abdallah,1866,1866,0,1866,m,,1.000000000000003,0.37291777617,0,1,"Laboulaye, Édouard,",Laboulaye's fairy book;,m
10282|Mimi,1895,1895,0,1895,f,,0.9999999999999997,0.949065027494,1,1,"Longard de Longgarde, Dorothea Gerard,",An arranged marriage,f
10301|Mrs.Jones,1861,1861,0,1861,f,,1.0,0.875492622295,1,1,"Leslie, Madeline,","Tim, the scissors grinder",f
10302|Arthur,1874,1874,0,1874,m,,0.9999999999999998,0.787991904751,0,1,"Austin, Jane G. (Jane Goodwin),",Moonfolk,m
10311|Miles,1892,1892,0,1892,m,,0.9999999999999989,0.137254765943,0,1,"Seawell, Molly Elliot,",The Berkeleys and their neighbors,m
10324|Mr.Rivers,1839,1839,0,1839,m,,1.0000000000000002,0.237680571718,0,1,"Kirkland, Caroline M. (Caroline Matilda),",A new home--who'll follow?,m
10360|Mrs.Dorking,1850,1850,0,1850,f,,1.0000000000000002,0.533574280526,1,1,"Trollope, Frances Milton,",Petticoat government;,f
10396|Alick,1869,1869,0,1869,m,,1.0000000000000027,0.388456955903,0,1,"Southworth, Emma Dorothy Eliza Nevitte,",The changed brides,m
10397|Sybil,1871,1871,0,1871,f,,0.9999999999999943,0.63505508709,1,1,"Southworth, Emma Dorothy Eliza Nevitte,",Cruel as the grave,f
103|Oswald,1881,1881,0,1881,m,,1.0000000000000073,0.44903261943,0,1,"Madame de Staël, (Anne-Louise-Germaine),","Corinne; or, Italy",m
10410|Lincoln,1867,1867,0,1867,m,,0.9999999999999997,0.381474212416,0,1,"Riddell, J. H., Mrs.,",Far above rubies,m
10413|Thure,1844,1844,0,1844,m,,0.9999999999999997,0.5225620444,0,1,"Bremer, Fredrika,",The neighbours,m
10431|LeonardHowe,1844,1844,0,1844,m,,0.9999999999999987,0.400952945787,0,1,"Lee, Hannah Farnham Sawyer,",The log cabin;,m
10444|Mrs.Darcy,1883,1883,0,1883,f,,1.0,0.807972206952,1,1,"Fleming, May Agnes,",A changed heart,f
10451|Raymond,1810,1810,0,1810,m,,1.0,0.156088594242,0,1,"Madame Cottin, (Sophie),",The Saracen;,m
10462|Mrs.Crichton,1897,1897,0,1897,f,,0.9999999999999982,0.614651661586,1,1,"Mrs., Alexander,",Mrs. Cridhton's creditor,f
10471|Mrs.Isabel,1813,1813,0,1813,f,,0.9999999999999996,0.73316651584,1,1,"Mrs. West, (Jane),",The loyalists,f
10471|William,1813,1813,0,1813,m,,0.9999999999999986,0.243759178191,0,1,"Mrs. West, (Jane),",The loyalists,m
10503|Katherine,1890,1890,0,1890,f,,1.0000000000000004,0.347131573307,1,1,"(Helen Hamilton), Gardener, Helen H.",Pushed by unseen hands,f
10507|Nichols,1891,1891,0,1891,f,,1.0,0.556371243257,1,1,"Ford, Mary H. (Mary Hanford),",Which wins?,f
10564|Peggy,1887,1887,0,1887,f,,0.9999999999999994,0.599887186356,1,1,"Carey, Rosa Nouchette,",Uncle Max,f
10568|Agnes,1862,1862,0,1862,f,,0.9999999999999939,0.704126071,1,1,"Stowe, Harriet Beecher",Agnes of Sorrento,f
10580|LordCarpynter,1838,1838,0,1838,m,,1.0000000000000007,0.125250409282,0,1,"Mrs. Gore, (Catherine Grace Frances),",The woman of the world,m
10580|St.LegerKerr,1838,1838,0,1838,m,,0.9999999999999993,0.696446361775,0,1,"Mrs. Gore, (Catherine Grace Frances),",The woman of the world,m
10593|Burr,1851,1851,0,1851,m,,1.0000000000000007,0.443603928319,0,1,"Knight, Helen C. (Helen Cross),",Hugh Fisher,m
10609|Mrs.Stanley,1847,1847,0,1847,f,,1.0000000000000002,0.674256597986,1,1,"Mrs. Thayer, J.,","The vacation, or, Mrs. Stanley and her children",f
10616|Mr.Hughes,1873,1873,0,1873,m,,1.0000000000000002,0.652188048045,0,1,"Connelly, Emma M.",Under the surface,m
10618|Mrs.Chevil,1887,1887,0,1887,f,,0.9999999999999989,0.731618004131,1,1,"Mrs., Conklin, Nathaniel,",Rizpah's heritage,f
1062|Grace,1844,1844,0,1844,f,,0.9999999999999997,0.945501207759,1,1,"pseud. Aesop,",The hypocrite;,f
10658|Mrs.Fleming,1877,1877,0,1877,f,,0.9999999999999994,0.503650130623,1,1,"Marryat, Florence,",Petronel,f
10696|MissBertram,1877,1877,0,1877,f,,0.9999999999999988,0.684384797202,1,1,"Kavanagh, Julia,",Two lilies,f
10696|Mr.Graham,1877,1877,0,1877,m,,1.0000000000000098,0.502581202006,0,1,"Kavanagh, Julia,",Two lilies,m
10724|Mr.Elliott,1853,1853,0,1853,m,,1.0000000000000004,0.110821015713,0,1,"Hentz, Caroline Lee,","Wild Jack; or, The stolen child: and other stories",m
10728|God,1871,1871,0,1871,m,,1.0000000000000002,0.300622042379,0,1,"Harrison, Jennie,",The old back room,m
10733|Henry,1813,1813,0,1813,m,,1.0000000000000009,0.338023752533,0,1,"Helme, Elizabeth,",Magdalen,m
10743|Lucien,1897,1897,0,1897,m,,0.9999999999999974,0.433158669729,0,1,"Duchess,",A lonely maid,m
10756|George,1809,1809,0,1809,m,,0.9999999999999988,0.494405835131,0,1,"Sandham, Elizabeth.",The adventures of poor puss,m
10767|Adeline,1896,1896,0,1896,f,,0.9999999999999991,0.803756326735,1,1,"Gras, Félix,",The reds of the Midi,f
10778|Katherine,1880,1880,0,1880,f,,0.9999999999999993,0.747439390006,1,1,"Marshall, Emma,",The Rochemonts,f
10778|Maude,1880,1880,0,1880,f,,0.9999999999999994,0.450884086236,1,1,"Marshall, Emma,",The Rochemonts,f
