,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
24967,4185|CravenCourt,4185,1866,m,"Marryat, Florence,",Woman against woman,f,,1866,m,0
37616,2877|Mr.Mannering,2877,1894,m,"(Margaret), Oliphant, Mrs.",A house in Bloomsbury,f,,1894,m,0
64776,uc1.$b103188|Cooney,uc1.$b103188,1962,m,"Moore, Ruth.",Second growth.,f,,1962,m,0
24012,2168|Josiah,2168,1868,m,"(Martha Eugenia) Berry, Martha E.",The crook straightened,f,,1868,m,0
8596,1225|LordRuthven,1225,1827,m,"Porter, Jane,","The Scottish Chiefs, a romance",f,,1827,m,0
69737,mdp.39015000655095|Jacobus,mdp.39015000655095,1974,m,"Gordimer, Nadine.",The conservationist / | $c: Nadine Gordimer.,f,,1974,m,0
25643,12614|Frank,12614,1861,m,"Fleming, May Agnes,","Silver star; or, The mystery of Fontelle hall",f,,1861,m,0
41789,uc2.ark+=13960=t0ms3mb2b|Philip,uc2.ark+=13960=t0ms3mb2b,1908,m,"Travers, Libbie Miller.",The honor of a Lee,f,,1908,m,0
29778,13351|Oswald,13351,1876,m,"(Mary Elizabeth), Braddon, M. E.",Joshua Haggard's daughter,f,,1876,m,0
20769,11655|Bill,11655,1857,m,"Bigelow, Harriet Hamline.",The curse entailed,f,,1857,m,0
72409,uc1.b4439640|Brother,uc1.b4439640,1984,m,"Hall, Martha Lacy,",Music lesson : | stories / | $c: by Martha Lacy Hall.,f,,1984,m,0
68082,pst.000012745180|Ross,pst.000012745180,1976,m,"Hardwick, Mollie.",The Duchess of Duke Street / | $c: by Mollie Hardwick.,f,,1976,m,0
28601,1620|Rudolf,1620,1878,m,"Yonge, Charlotte Mary,",Aunt Charlotte's stories of German history for the little ones,f,,1878,m,0
4059,3680|Ralph,3680,1815,m,"Peacock, Lucy,",Friendly Labours,f,,1815,m,0
64077,uc1.32106001530705|Socrates,uc1.32106001530705,1961,m,Aesop.,"Aesop without morals; | the famous fables, and a life of Aesop, newly translated and edited by Lloyd W. Daly. Illustrated by Grace Muscarella.",f,,1961,m,0
61264,uc1.$b243197|Burke,uc1.$b243197,1952,m,"Goodwin, Inge Dorothea Rose,",Bury me in lead.,f,,1952,m,0
8088,1225|Stephen,1225,1827,m,"Porter, Jane,","The Scottish Chiefs, a romance",f,,1827,m,0
48038,uiug.30112062675985|Jim,uiug.30112062675985,1928,m,"Carrier, Blanche,","Building a Christian character; | a course in religion for grade four or five in the church schools, | $c: by Blanche Carrier, and Amy Clowes.",f,,1928,m,0
61653,uc1.b3687290|Lee,uc1.b3687290,1954,m,"Crockett, Lucy Herndon,",The magnificient bastards.,f,,1954,m,0
33473,1232|Pontius,1232,1881,m,"Ebers, Georg,",The emperor,f,,1881,m,0
61073,inu.30000005481464|Marcus,inu.30000005481464,1951,m,"Christie, Agatha,",They came to Baghdad / | $c: by Agatha Christie.,f,,1951,m,0
21173,1413|Mr.Penn,1413,1855,m,"Warner, Anna Bartlett,",My brother's keeper,f,,1855,m,0
12184,7613|Abraham,7613,1830,m,"Cheap, Eliza.",The commandment with promise,f,,1830,m,0
9869,2423|Grahame,2423,1824,m,"Cushing, E. L. (Eliza Lanesford),",Saratoga;,f,,1824,m,0
49644,uc2.ark+=13960=t48p5x45j|JohnJunior,uc2.ark+=13960=t48p5x45j,1922,m,"Lee, Jennette,",The rain-coat girl,f,,1922,m,0
32000,11658|Norwood,11658,1883,m,"Myrtle, Mon.",Under the stars and bars,f,,1883,m,0
60867,wu.89004302493|Sergius,wu.89004302493,1950,m,"McNeill, Margaret.",By the rivers of Babylon; | a story of relief work among the displaced persons of Europe / | $c: by Margaret McNeill...,f,,1950,m,0
21918,14169|Mr.Owen,14169,1855,m,"Kavanagh, Julia,",Grace Lee,f,,1855,m,0
48146,nnc1.1002141930|Ed,nnc1.1002141930,1921,m,"Ashmun, Margaret,",Topless towers;,f,,1921,m,0
5799,429|Simon,429,1815,m,"Mrs. Bray, (Anna Eliza),",The novels and romances of Anna Eliza Bray,f,,1815,m,0
76525,mdp.39015034268485|Arturo,mdp.39015034268485,1995,m,"Juarez, Tina.",Call no man master / | $c: by Tina Juárez.,f,,1995,m,0
37255,10774|PeterdeGroodt,10774,1896,m,"Irving, Washington,","Bracebridge Hall, or, The humourists",f,,1896,m,0
21215,7931|Frampton,7931,1857,m,"Tonge, Charlotte Mary,",Dynevor Terrace,f,,1857,m,0
71944,mdp.39015053597616|Leon,mdp.39015053597616,1987,m,"Martin, Claire,","Love me, love me not / | $c: Claire Martin.",f,,1987,m,0
65405,uc1.32106002153713|Ben,uc1.32106002153713,1969,m,"West, Jessamyn.",Except for me and thee; | a companion to The friendly persuasion.,f,,1969,m,0
33704,14899|JohnVernon,14899,1889,m,"Ouida,",Guilderoy,f,,1889,m,0
17739,9680|Maurice,9680,1844,m,"Charlotte Elizabeth,",The rockite,f,,1844,m,0
52646,uc1.$b63728|CharleyStetbettor,uc1.$b63728,1939,m,"Sandoz, Mari,",Capital city.,f,,1939,m,0
28090,12531|Twiss,12531,1878,m,"Davis, Rebecca Harding,",A law unto herself,f,,1878,m,0
77081,mdp.39015021852044|LeRoy,mdp.39015021852044,1991,m,"Bly, Carol.","The tomcat's wife, and other stories / | $c: Carol Bly.",f,,1991,m,0
25309,14033|Kobert,14033,1868,m,"Ellis, Sarah Stickney,",Northern roses,f,,1868,m,0
9912,14285|Rupert,14285,1821,m,"Porter, Anna Maria,",The village of Mariendorpt,f,,1821,m,0
57530,mdp.39015011425850|Mr.Potts,mdp.39015011425850,1945,m,"Lockridge, Frances Louise Davis.",Payoff for the banker ... | a Mr. and Mrs. North mystery | $c: [by] Frances and Richard Lockridge.,f,,1945,m,0
44001,nyp.33433074817259|Francis,nyp.33433074817259,1918,m,"Mrs.] [Cranston, Ruth,",The best people,f,,1918,m,0
4716,14588|Baldwin,14588,1817,m,"Edgeworth, Maria,",Harrington,f,,1817,m,0
12905,12021|Lionel,12021,1835,m,"Mrs., Hall, S. C.,",Tales of woman's trials,f,,1835,m,0
17217,14697|O'Neill,14697,1848,m,"Wallace, Ellen.","Mr. Warrenne, the medical practitioner",f,,1848,m,0
20093,9404|John,9404,1859,m,"Mrs., Beecher, Henry Ward,",From dawn to daylight;,f,,1859,m,0
5166,13161|Maxwell,13161,1814,m,"Davenport, Selina,",The hypocrite;,f,,1814,m,0
60938,uc1.$b323507|Elsbeth,uc1.$b323507,1953,m,"Butler, E. M. (Eliza Marian),",Silver Wings : | a novel/ by E. M. Butler. --,f,,1953,m,0
11988,11425|George,11425,1833,m,"Leslie, Eliza,",Atlantic tales,f,,1833,m,0
