,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
61796,mdp.39015030716586|Crosbie,mdp.39015030716586,1953,m,"Spicer, Bart.",The wild Ohio.,m,,1953,m,0
36037,5118|Dr.mcgilligan,5118,1899,m,"MacManus, Seumas,",Through the turf smoke,m,,1899,m,0
32523,8225|Mr.CommissionerPordage,8225,1880,m,"Dickens, Charles,",Works,m,,1880,m,0
72126,uc1.b3463708|NatForrest,uc1.b3463708,1985,m,"Yerby, Frank,",McKenzie's Hundred / | $c: Frank Yerby.,m,,1985,m,0
44441,uc2.ark+=13960=t2k64b10s|JackPollock,uc2.ark+=13960=t2k64b10s,1911,m,"White, Stewart Edward,",Rules of the game,m,,1911,m,0
55920,inu.32000000963845|Cook,inu.32000000963845,1945,m,"Casey, Robert J. (Robert Joseph),","Battle below; the war of the submarines, | $c: by Robert J. Casey.",m,,1945,m,0
52662,uc1.$b56702|Arthur,uc1.$b56702,1932,m,"Golding, Louis,",Magnolia street.,m,,1932,m,0
13231,13980|Shamus,13980,1836,m,"Griffin, Gerald,",The Duke of Monmouth,m,,1836,m,0
48257,uc2.ark+=13960=t3513xg60|JumboWilkins,uc2.ark+=13960=t3513xg60,1920,m,"Raine, William MacLeod,","Oh, you Tex!",m,,1920,m,0
13102,14084|LordSaltream,14084,1833,m,"Baron, Lytton, Edward Bulwer Lytton,","Godolphin, or, The oath",m,,1833,m,0
1772,14963|LordAberdeen,14963,1805,m,"Holcroft, Thomas,",Memoirs of Bryan Perdue,m,,1805,m,0
73300,uc1.32106005032161|Saul,uc1.32106005032161,1980,m,"De Haven, Tom.",Jersey luck / | $c: by Tom De Haven.,m,,1980,m,0
41404,uc1.b4102521|Bolaroz,uc1.b4102521,1901,m,"McCutcheon, George Barr,",Graustark,m,,1901,m,0
40595,mdp.39076005081893|DonQuixote,mdp.39076005081893,1909,m,"Howe, Will David,",A fifth reader,m,,1909,m,0
76369,mdp.39015040577531|Papa,mdp.39015040577531,1997,m,"Matthiessen, Peter.",Lost Man's River / | $c: Peter Matthiessen.,m,,1997,m,0
49143,mdp.39015048711892|Chester,mdp.39015048711892,1924,m,"Conrad, Joseph,","Lord Jim; | a romance, | $c: by Joseph Conrad.",m,,1924,m,0
32044,9848|BaronThyma,9848,1886,m,"Jefferies, Richard,","After London, or, Wild England",m,,1886,m,0
77749,mdp.39015032216965|Kinsella,mdp.39015032216965,1994,m,"Stookey, Richard.",Kinsella's man / | $c: Richard Stookey.,m,,1994,m,0
