word,docfreq
wearing,105
awoke,105
experience,105
anxious,105
intention,105
hopes,105
waist,105
begged,104
burst,104
chamber,104
window,104
likes,104
efforts,103
confessed,103
best,103
listen,103
expect,103
guessed,103
was-inquired,103
leapt,103
will,103
recalled,103
steps,102
speaking,102
swung,102
marry,102
responded,102
was-thought,102
climbed,102
elbow,101
cousin,101
gets,101
reach,101
poured,101
was-save,101
withdrew,101
invited,100
knelt,100
shuddered,100
handkerchief,100
condition,100
acted,100
busy,100
was-keep,100
was-lost,100
gathered,100
pockets,100
share,99
pay,99
presented,99
promise,99
was-set,99
was-taking,98
meet,98
living,98
was-passed,98
was-addressed,98
was-gave,98
laughing,98
was-greeted,98
grown,98
bore,98
fall,98
frame,97
was-regarded,97
angry,97
studied,97
assumed,97
fist,97
leg,97
was-placed,97
thrust,97
glance,97
was-approached,96
eyebrows,96
obtained,96
working,96
missed,96
informed,95
longed,95
fancied,95
affairs,95
fear,95
was-used,95
arose,94
was-turned,94
was-like,94
thanked,94
was-allowed,94
was-prepared,94
mounted,93
filled,93
escaped,93
sake,93
removed,93
grasp,93
was-forced,93
conversation,93
plans,92
fixed,92
loves,92
tired,92
was-whispered,92
proud,92
was-joined,92
willing,92
holding,92
visited,92
bedroom,91
descended,91
anxiety,91
knocked,91
lowered,91
stomach,91
delighted,91
present,91
speech,91
takes,91
close,91
experienced,91
treated,90
avoided,90
aunt,90
are,90
pass,90
wiped,90
cap,90
pleaded,90
guest,89
grinned,89
free,89
breathing,89
seems,89
courage,89
sight,88
makes,88
was-stopped,88
was-treated,88
was-give,88
play,88
gained,88
was-urged,88
course,88
was-reached,88
dressed,88
fought,88
was-concerned,88
woke,88
people,88
beginning,88
acquaintance,88
snapped,88
bit,88
command,88
attempted,87
was-obliged,87
folded,87
journey,87
grief,87
object,86
was-asking,86
seated,86
certain,86
was-accompany,86
checked,86
was-moved,86
arranged,86
enemy,86
rolled,86
boots,86
step,86
drink,85
tore,85
admired,85
was-accompanied,85
request,85
described,85
watching,85
silence,85
examined,84
state,84
write,84
listening,84
favour,84
learn,84
send,84
view,84
was-thanked,84
ceased,84
was-introduced,84
bade,84
crying,84
covered,84
was-showed,84
offer,83
was-returned,83
wandered,83
appear,83
suit,83
pipe,83
clung,83
passion,83
forced,83
rejoined,82
saved,82
thrown,82
playing,82
was-interrupted,82
was-pushed,82
tells,82
imagine,82
wrist,82
dreams,82
favourite,82
pleasure,82
career,82
change,82
was-demanded,81
curiosity,81
was-wanted,81
sang,81
hit,81
was-convinced,81
means,81
was-kill,81
obeyed,81
snatched,81
affection,81
preferred,81
conscience,81
confidence,80
pale,80
trembled,80
trust,80
happened,80
chance,80
was-pulled,80
leaning,80
was-helped,80
dreamed,80
reminded,80
success,80
grasped,79
stooped,79
strode,79
better,79
chosen,79
was-received,79
letters,79
alive,79
self,79
produced,79
visits,79
emerged,79
giving,79
endeavoured,78
weight,78
introduced,78
cry,78
was-killed,78
resolution,78
crept,78
tossed,78
lose,78
likely,77
half,77
visitor,77
flesh,77
was-filled,77
catch,77
duties,77
was-lifted,77
ideas,77
departed,77
was-puzzled,77
idea,76
screamed,76
shirt,76
wept,76
faced,76
rubbed,76
swallowed,76
declined,75
taste,75
greeted,75
running,75
plan,75
was-relieved,75
party,75
was-satisfied,75
was-persuade,74
guests,74
existence,74
staggered,74
pretended,74
vision,74
noted,74
country,74
books,74
act,74
was-cut,74
was-roused,74
was-expected,74
acquired,74
beheld,74
approach,74
notice,74
carry,73
lives,73
enter,73
purse,73
careful,73
bag,73
rest,73
eat,73
movements,73
car,73
joy,73
remain,73
was-compelled,72
one,72
was-did,72
address,72
behaviour,72
touch,72
beautiful,72
stumbled,72
