,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
81359,mdp.39015060067264|Mr.Allen,mdp.39015060067264,2004,m,Minister Faust.,The Coyote Kings of the space-age bachelor pad / | $c: Minister Faust.,u,,2004,m,0
72893,mdp.39015012057348|DeBrusca,mdp.39015012057348,1987,m,"Kotzwinkle, William.",The exile / | $c: William Kotzwinkle.,m,,1987,m,0
77260,mdp.39015025250211|Randolph,mdp.39015025250211,1990,m,,"Canadian brash : | new voices in fiction, drama, and poetry / | $c: Sally Clark ... [et al.] ; edited by Jason Sherman.",u,,1990,m,0
72719,mdp.39076001316996|Fred,mdp.39076001316996,1986,m,,"A Land, a people : | short stories by Canadian writers / | $c: Michael Nowlan, editor.",u,,1986,m,0
60170,mdp.39015002385766|Gillie,mdp.39015002385766,1951,m,"Leverson, Ada.",The limit.,f,,1951,m,0
64697,mdp.39015030699550|Willie,mdp.39015030699550,1961,m,"Kantor, MacKinlay,",Spirit Lake / | $c: by MacKinlay Kantor.,m,,1961,m,0
76640,mdp.39015049742607|Alvin,mdp.39015049742607,1997,m,"Hardy, James Earl.",If only for one nite / | $c: by James Earl Hardy.,m,,1997,m,0
61508,mdp.39015014551033|Johnson,mdp.39015014551033,1957,m,"Selvon, Samuel.",Ways of sunlight.,m,,1957,m,0
81228,mdp.39015069375700|Hamdial-Zawawi,mdp.39015069375700,2006,m,"Shalaby, Khairy",The lodging house / | $c: Khairy Shalaby ; translated by Farouk Abdel Wahab,u,,2006,m,0
80040,mdp.49015003154508|DonJuan,mdp.49015003154508,2005,m,"Powers, Tim,",Strange itineraries / | $c: Tim Powers.,m,,2005,m,0
64026,uc1.32106002134457|Bill,uc1.32106002134457,1968,m,"O'Hara, John,",And other stories.,m,,1968,m,0
59943,mdp.39015074771372|Manuel,mdp.39015074771372,1952,m,"Grey, Zane,","Zane Grey's adventures in fishing; / | $c: by Zane Grey, edited, with notes, by Ed Zern.",m,,1952,m,0
81379,mdp.39015062895688|Elvis,mdp.39015062895688,2005,m,"Fresnosa, Delfin.",Tandoz and other stories / | $c: Delfin Fresnosa; ed. and with an introduction by Teresita E. Erestain.,m,,2005,m,0
68752,mdp.39015073376611|Ted,mdp.39015073376611,1978,m,"Caldwell, Clay.",S&M truckers / | $c: Clay Caldwell,m,,1978,m,0
65840,uc1.$b115446|Harry,uc1.$b115446,1963,m,"Feiffer, Jules.","Harry, the rat with women, | a novel.",m,,1963,m,0
81357,mdp.39015067708340|Motley,mdp.39015067708340,2007,m,,"The Columbia anthology of modern Chinese literature / | $c: Joseph S.M. Lau and Howard Goldblatt, editors.",u,,2007,m,0
65348,mdp.39015046834050|Ordway,mdp.39015046834050,1961,m,"Yates, Richard,",Revolutionary road / | $c: Richard Yates.,m,,1961,m,0
