word,docfreq
pleased,114
patted,114
mean,114
apartment,113
start,113
invited,113
was-helped,113
reply,113
kind,113
flesh,112
unable,112
was-invited,112
peered,112
more,111
cigarette,111
sipped,111
was-taking,111
much,111
won,111
covered,111
sank,111
weight,111
was-thought,110
was-turned,110
inquired,110
was-stop,110
sorry,109
was-marry,109
idea,109
alive,109
folded,109
listen,109
described,108
was-face,108
was-moved,108
fists,108
takes,108
plans,108
avoided,108
reach,108
was-follow,108
shared,107
makes,107
elbows,107
dared,107
emerged,107
chosen,107
prepared,106
was-greeted,106
greeted,106
skirt,106
self,106
coffee,106
was-asking,106
was-concerned,106
suffered,106
shifted,105
company,105
thumb,105
squeezed,105
recalled,105
realise,105
grown,105
was-frightened,105
certain,105
companion,105
worried,104
cry,104
direction,104
killed,104
behaviour,104
pay,104
dragged,104
searched,104
arranged,104
mood,103
was-shocked,103
was-recognised,103
blinked,103
free,102
fault,102
laughing,102
tapped,102
flung,102
rode,102
offer,102
play,101
sick,101
imagination,101
cared,101
was-gave,101
seeing,101
arrival,101
dream,101
glasses,101
tore,101
dreamed,101
hope,100
was-worried,100
best,100
recovered,100
glance,100
horse,100
surprised,100
jerked,100
thanked,99
change,99
visited,99
responded,99
tells,99
thigh,99
toes,99
was-tired,99
lose,99
stuck,98
lungs,98
eyelids,98
pants,98
senses,98
belt,98
carrying,98
blood,98
was-puzzled,98
are,98
complained,98
leaning,97
interest,97
noted,97
questions,97
declared,97
wish,97
washed,97
burst,97
locked,97
was-relieved,97
was-drew,97
kill,97
catch,97
recognise,97
stroked,96
leapt,96
experience,96
preferred,96
word,95
calls,95
afford,95
speech,95
feels,95
was-kept,95
was-joined,95
cast,94
desire,94
seized,94
sang,94
filled,94
things,94
groaned,93
was-warned,93
first,93
begin,93
was-hold,93
sought,93
grip,93
people,93
wandered,93
was-touch,93
backed,93
shivered,93
asks,93
eat,93
moving,93
was-send,92
blew,92
smelled,92
plan,92
was-prepared,92
was-thanked,92
chuckled,92
was-set,92
shuddered,92
loves,92
dreams,92
was-passed,92
glared,91
pretended,91
wrapped,91
handkerchief,91
hurt,91
resumed,91
was-expected,91
was-allowed,91
prayed,91
youth,91
taught,91
counted,91
letter,90
was-treated,90
shoved,90
experienced,90
vision,90
eaten,90
was-determined,90
nostrils,90
was-excited,90
seems,90
world,90
efforts,90
thrust,89
open,89
steps,89
urged,89
palms,89
proud,89
step,89
faced,89
share,89
men,89
number,89
concluded,88
explain,88
was-want,88
was-filled,88
was-join,88
stirred,88
sleeve,87
examined,87
lie,87
meet,87
muscles,87
trousers,87
books,86
saved,86
snatched,86
fears,86
was-reached,86
admired,86
motioned,86
reaction,86
asking,86
was-give,85
was-convinced,85
longed,85
dug,85
picture,85
pride,85
childhood,85
willing,85
nerves,85
grandmother,85
acted,84
relaxed,84
conscious,84
begged,84
anxious,84
strode,84
follow,84
twisted,84
served,84
night,84
laugh,83
manage,83
was-showed,83
collar,83
quiet,83
was-introduced,83
cap,83
absence,83
lied,83
break,83
wrong,83
keeps,83
will,83
shown,83
pick,82
pain,82
was-looked,82
spine,82
round,82
smell,82
master,82
fixed,82
full,82
withdrew,82
putting,82
hugged,82
delighted,81
laughter,81
sees,81
departure,81
decision,81
pleasure,81
was-ignored,81
was-dragged,81
dare,81
blushed,81
regarded,81
something,81
gripped,81
claimed,81
silence,81
awoke,81
mumbled,81
was-grabbed,81
grasp,81
learn,80
writing,80
pass,80
expect,80
trust,80
was-picked,80
turns,80
sniffed,80
lover,80
wear,80
brothers,80
rested,80
released,79
reflected,79
confessed,79
continue,79
act,79
wrists,79
expecting,79
headed,79
was-informed,79
was-confused,79
marriage,78
baby,78
temper,78
happened,78
was-felt,78
driving,78
problem,78
limbs,77
shaking,77
please,77
spirit,77
was-answered,77
was-urged,77
purse,77
grateful,77
nature,77
doubted,77
marry,77
write,76
point,76
was-visit,76
aunt,76
was-do,76
capable,76
was-shook,76
sides,76
was-exhausted,76
hungry,76
ankles,76
was-taught,75
grasped,75
was-seated,75
was-holding,75
attitude,75
concern,75
nails,75
was-cut,75
was-approached,74
was-amused,74
wept,74
choice,74
movements,74
reported,74
knowledge,74
exchanged,74
grandfather,74
knuckles,74
was-upset,74
end,74
was-lifted,73
informed,73
was-save,73
coughed,73
beat,73
wake,73
calm,73
attempted,73
pace,73
switched,73
tall,73
staying,73
was-recognise,73
giving,73
control,73
commanded,73
miss,72
blurted,72
thrown,72
slowed,72
spotted,72
skull,72
uncle,72
response,72
becoming,72
temples,72
emotions,71
bones,71
advice,71
was-needed,71
argued,71
past,71
was-finished,71
was-facing,71
clutched,71
