volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
inu.30000039095900|Joseph,1993,1993,0,1993,m,,0.9999999999999998,0.559400200016,0,1,"Roberts, Michèle.",The book of Mrs. Noah / | $c: Michèle Roberts.,m
inu.30000039918408|Mr.Shmuel,1988,1988,0,1988,m,,1.0,0.576058035952,0,1,anonymous73,To be a free people in our own land : | trends in Israeli fiction / | $c: selected texts by Rivka Maoz.,m
inu.30000039976349|Evita,1985,1985,0,1985,f,,0.9999999999999987,0.555352183388,1,1,anonymous251,Whispering land : | an anthology of stories by African women.,f
inu.30000041156716|Margaret,1990,1990,0,1990,f,,1.0,0.4798811015,1,1,anonymous374,"L.A. my way : | 17 writers reflect on L.A. / | $c: LaVonne Taylor, editor.",f
inu.30000041996913|DomJoao,1995,1995,0,1995,m,,0.9999999999999982,0.494121565888,0,1,anonymous135,The Dedalus book of Portuguese fantasy / | $c: edited by Eugňio Lisboa & Helder Macedo ; translated by Margaret Jull Costa.,m
inu.30000042624605|Federov,1995,1995,0,1995,m,,0.999999999999998,0.465943880264,0,1,"Mullen, Michael.",The midnight country / | $c: Michael Mullen.,m
inu.30000042740146|LeonaCarpenter,1994,1994,0,1994,f,,0.9999999999999989,0.515826440602,1,1,"Norton, Carla.",Disturbed ground : | the true story of a diabolical female serial killer / | $c: Carla Norton.,f
inu.30000042783195|Alice,1976,1976,0,1976,f,,0.9999999999999957,0.511955797354,1,1,"Kennedy, William,",Legs / | $c: [by] William Kennedy.,f
inu.30000043484876|Lydia,1995,1995,0,1995,f,,0.9999999999999988,0.537973438158,1,1,"Brink, Andr ̌Philippus,",A chain of voices / | $c: Andr ̌Brink.,f
inu.30000044450595|Julie,1993,1993,0,1993,f,,0.9999999999999982,0.489509028316,1,1,"Du Toit, Lois Anne.","Kiki, Camoni, Chiara / | $c: Lois Anne du Toit.",f
inu.30000044775025|Genevieve,1982,1982,0,1982,f,,1.0,0.536848596604,1,1,"Lorde, Audre.","Zami, a new spelling of my name / | $c: Audre Lorde.",f
inu.30000053033977|Imasiku,1996,1996,0,1996,m,,0.9999999999999982,0.456531024361,0,1,"Kambikambi, Clement.",A gem for the Pasha / | $c: Clement Kambikambi.,m
inu.30000053088401|MrScott,1998,1998,0,1998,m,,1.0,0.58410150524,0,1,"Halligan, Marion,",The golden dress / | $c: Marion Halligan.,m
inu.30000054042639|Elise,1997,1997,0,1997,f,,1.0000000000000018,0.56498403687,1,1,"Rosenberg, Valerie.",The von Veltheim file / | $c: Valerie Rosenberg.,f
inu.30000054046663|Amin,1997,1997,0,1997,m,,1.0000000000000004,0.570633815791,0,1,"Dangor, Achmat,",Kafka's curse / | $c: Achmat Dangor.,m
inu.30000054051390|Karl,1996,1996,0,1996,m,,1.0000000000000002,0.456948745734,0,1,"Mhlope, A.",A picture of innocence / | $c: A. Mhlope.,m
inu.30000054411180|Chen,1953,1953,0,1953,m,,0.9999999999999993,0.476430902448,0,1,"Colette,","Chéri, | and The last of Chéri. | $c: [Translated by Roger Senhouse]",m
inu.30000054564814|Beatrice,1997,1997,0,1997,f,,0.9999999999999989,0.482527097527,1,1,anonymous277,Twelve Victorian ghost stories / | $c: selected and introduced by Michael Cox.,f
inu.30000056001955|Claire,1997,1997,0,1997,f,,0.9999999999999992,0.588152482255,1,1,Starhawk.,Walking to Mercury / | $c: Starhawk.,f
inu.30000056346624|GeorgeGrimes,1997,1997,0,1997,m,,1.0000000000000009,0.484752273641,0,1,"Willocks, Tim.",Bad city blues / | $c: Tim Willocks.,m
inu.30000056346707|Dany,1997,1997,0,1997,m,,0.999999999999998,0.494107360111,0,1,"Japrisot, Sébastien,",The lady in the car with glasses and a gun / | $c: Sébastien Japrisot ; translated from the French by Helen Weaver.,m
inu.30000057313474|Buddha,1997,1997,0,1997,m,,1.0000000000000004,0.698319140537,0,1,"Di Filippo, Paul,",Ciphers : | a novel / | $c: Paul Di Filippo.,m
inu.30000060925371|Mother,1997,1997,0,1997,f,,1.0000000000000007,0.463578655351,1,1,"Adenubi, Mobolaji.",Empty arms / | $c: Mobolaji Adenubi.,f
inu.30000067332779|MrDuru,1998,1998,0,1998,m,,1.0000000000000007,0.488897523241,0,1,"Anugwom, A. J. O.",The second wife / | $c: A.J.O. Anugwom.,m
inu.30000068570187|Tanya,1998,1998,0,1998,f,,1.0000000000000004,0.538337171023,1,1,"Johnson, Dul.",Shadows and ashes / | $c: Dul Johnson.,f
inu.30000079189456|Mother,2001,2001,0,2001,f,,0.9999999999999912,0.525350160762,1,1,"Verweerd, Joke.",The winter garden : | a novel / | $c: by Johanna Verweerd ; [translated into English by Helen Richardson-Hewitt].,f
inu.30000079297077|Rudolph,2006,2006,0,2006,m,,0.9999999999999998,0.547562007329,0,1,"Altmann, Anna E.","The seven Swabians, and other German folktales / | $c: Anna E. Altmann.",m
inu.30000081188934|Esther,2001,2001,0,2001,f,,0.9999999999999949,0.507561796499,1,1,"Oricha, J. M. (John Majebi)",Truth is bitter : | (part II of The tide of destiny) / | $c: Majebi Oricha.,f
inu.30000083996623|Siggi,1971,1971,0,1971,m,,0.9999999999999973,0.474466944342,0,1,"Lenz, Siegfried,",The German lesson. | $c: Translated by Ernst Kaiser and Eithne Wilkins.,m
inu.30000084024185|Khan,1951,1951,0,1951,m,,0.9999999999999997,0.436379753272,0,1,"Chamot, A. E. (Alfred Edward),","Selected Russian short stories, chosen and translated by A.E. Chamot.",m
inu.30000086158411|Madge,2002,2002,0,2002,f,,0.9999999999999987,0.521055120037,1,1,"Elliott, Ray,",Wild hands toward the sky : | a novel / | $c: by Ray Elliott.,f
inu.30000086169905|Murad,2002,2002,0,2002,m,,1.0000000000000002,0.515245418381,0,1,"Shah, Idries,",Kara Kush : | a novel of Afghanistan / | $c: Idries Shah.,m
inu.30000087182246|Stephen,2006,2006,0,2006,m,,0.9999999999999984,0.520066797163,0,1,"Barker, Mo.",The rough and the smooth / | $c: Mo Barker.,m
inu.30000087183624|Judith,2006,2006,0,2006,f,,0.9999999999999997,0.519971948675,1,1,"McKay, Ami,",The birth house : | a novel / | $c: by Ami Mckay.,f
inu.30000087712851|Biddy,2001,2001,0,2001,m,,1.0000000000000007,0.479849113156,0,1,"Haynes, Tim.",The house at the edge of the world / | $c: Tim Haynes.,m
inu.30000087825646|LaWang,2002,2002,0,2002,m,,1.0000000000000004,0.501574753167,0,1,"Dalyop, Kim Bulus,",The forge of Gyel / | $c: Kim Bulus Dalyop.,m
inu.30000087954032|Christiana,1989,1989,0,1989,f,,1.0000000000000002,0.538940832953,1,1,"Egharevba, Chris.",Canopy of thunder / | Chris Egharevba.,f
inu.30000088085224|Himmler,2002,2002,0,2002,m,,0.9999999999999998,0.540006391491,0,1,"Sales, Joan.",Uncertain glory / | $c: by Joan Sales ; translated from Catalan by David H. Rosenthal.,m
inu.30000091649073|Brenda,1969,1969,0,1969,f,,0.9999999999999981,0.493726623144,1,1,anonymous198,Penguin modern stories.,f
inu.30000092135379|SteveKetchel,1975,1975,0,1975,m,,0.9999999999999998,0.326845006545,0,1,"O'Brien, John.",No signs from heaven : | theological tradition and the modern literary imagination / | $c: edited and with an introd. by John O'Brien and Richard Finholt.,m
inu.30000092512817|Dr.Johnson,2003,2003,0,2003,m,,1.0,0.478939458529,0,1,"Hilmon, Darrious.",5 dimes / | $c: Darrious D. Hilmon.,m
