date,firstpub,author,title,genre,publisher,birthdate,gender,inhathi,htid,binding,dollars,pseudonym
1890,1890,"De Leon, Thomas Cooper","Juny; or, only one girl's story",,Gossip,1839,m,n,,,,
1890,1889,"Fawcett, Edgar",The evil that men do,,Belford,1847,m,y,,,,
1890,1890,"Gerard, Dorothea",Lady Baby: a novel,,Harpers,1855,f,y,,,,
1890,1889,"Habberton, John",Couldn't say no,,Belford,1842,m,y,nyp.33433112002088,,,
1890,1889,"Lewis, Harriet",The bailiff's scheme,,Rob Bonner's Sons,1841,f,y,hvd.hn2t47,,,
1890,1890,"Ashley, C B",Luke Bennett's hide-out,,Lovell,,u,y,nc01.ark:/13960/t2j682280,,,
1890,1890,"Adsit, Byron D",A mystery of the fast mail,detective fiction,Lovell,,m,n,,paper,,
1890,1878,"Isaacs, Jorge",Maria: a South American romance,,Harper,1837,m,y,,cloth,,
1890,1890,"Maclure, David",David Todd: the romance of his life and loving,,Cassell,,m,n,,paper,,
1890,1890,"Comfort, Lucy Randall","Cecile's Marriage; or, the heiress of Earnscliff",,Street & Smith,1836,f,n,,cloth,,
1890,1890,"Forsyth, Miss",An awakening,,F. Lovell,,f,n,,paper,,
1890,1890,"French, Alice",Expiation,,Scribner's Sons,1850,f,y,njp.32101068169018,cloth,,"Thanet, Octave"
1890,1890,"Tiernan, Mary Spear",Jack Horner: a novel,,Houghton Mifflin,1836,f,y,nyp.33433076081730,cloth,,
1890,1890,"Urner, Nathan D.","Gold-dust Darrell; or, the wizard of the mines",,Street & Smith,,m,n,,paper,,"Brentford, Burke"
1890,1886,"Kirk, Ellen Olney",The story of Margaret Kent: a novel,,Houghton Mifflin,,f,y,hvd.hn1cig,cloth,1.25,
1890,1890,"Paget, Violet",Hauntings: fantastic stories,ghost story,Lovell,1856,f,y,uva.x004604374,paper,,"Lee, Vernon"
1890,1883,"Miller, Mrs Alex McVeigh",The bride of the tomb,,Lovell,,f,y,osu.32435018529180,paper,,
1890,1890,"Donelly, Ignatius",Caesar's column,science fiction,Schulte,1831,m,y,nyp.33433039680552,cloth,1.25,"Boisgilbert, Edmund"
1890,1890,"Campbell, Gilbert","Mysteries of the unseen; or, supernatural stories of English life",ghost story,"Ward, Lock",1838,m,n,,paper,,
1890,1889,"Douglas, Alice May",Gems without polish: a story of the country week,,Hunt & Easton,1865,f,n,,cloth,1.25,
