chargender,authgender,date,characters,speaking,agent,mod,patient,poss,total
u,u,1880,48,66,60,11,15,19,105
u,u,1881,104,1381,347,26,100,134,607
u,u,1882,26,113,15,4,19,16,54
u,u,1883,83,3098,257,23,61,47,388
u,u,1884,85,2523,257,32,94,47,430
u,u,1885,40,310,63,11,34,17,125
u,u,1886,75,252,76,10,31,23,140
u,u,1887,51,920,130,11,36,37,214
u,u,1888,56,303,98,10,24,21,153
u,u,1889,64,2388,255,25,53,46,379
u,u,1890,109,4183,442,39,140,143,764
u,u,1891,111,3847,484,58,136,169,847
u,u,1892,74,734,181,16,50,32,279
u,u,1893,59,550,59,14,30,10,113
u,u,1894,81,2658,386,71,163,108,728
u,u,1895,35,232,45,11,12,14,82
u,u,1896,42,96,34,4,28,21,87
u,u,1897,49,353,124,12,21,28,185
u,u,1898,103,2246,257,37,82,67,443
u,u,1899,79,919,151,17,43,21,232
u,u,1900,293,11495,1469,103,476,339,2387
u,u,1901,191,4715,431,41,155,57,684
u,u,1902,124,2247,368,30,116,45,559
u,u,1903,163,5531,506,48,172,116,842
u,u,1904,89,963,166,22,49,35,272
u,u,1905,61,1730,97,13,26,18,154
u,u,1906,49,276,62,9,19,20,110
u,u,1907,4,7,1,1,0,1,3
u,u,1908,129,8713,772,73,124,166,1135
u,u,1909,31,103,26,5,6,10,47
u,u,1910,86,2890,415,33,104,135,687
u,u,1911,115,999,164,20,62,44,290
u,u,1912,44,193,133,10,26,38,207
u,u,1913,100,863,265,27,80,67,439
u,u,1914,53,2526,189,25,55,35,304
u,u,1915,113,3615,355,34,131,91,611
u,u,1916,63,232,77,10,26,31,144
u,u,1917,15,446,48,6,23,11,88
u,u,1918,10,0,15,4,6,11,36
u,u,1919,57,650,108,13,31,30,182
u,u,1920,105,5586,671,60,133,134,998
u,u,1921,6,59,23,2,5,5,35
u,u,1922,68,4712,492,40,145,50,727
u,u,1923,0,0,0,0,0,0,0
u,u,1924,10,75,5,0,1,1,7
u,u,1925,0,0,0,0,0,0,0
u,u,1926,10,124,17,2,6,3,28
u,u,1927,19,843,63,8,37,7,115
u,u,1928,0,0,0,0,0,0,0
u,u,1929,11,200,55,2,9,10,76
u,u,1930,17,19,18,6,7,7,38
u,u,1931,17,1048,121,3,22,24,170
u,u,1932,46,2454,483,41,92,97,713
u,u,1933,51,708,140,13,38,36,227
u,u,1934,32,1000,187,5,44,33,269
u,u,1935,8,209,41,8,22,20,91
u,u,1936,39,1823,217,15,49,28,309
