chargender,authgender,date,characters,speaking,agent,mod,patient,poss,total
m,f,1877,2650,333258,63964,6040,15937,39563,125504
m,f,1897,4369,653577,124976,10881,28861,72466,237184
m,f,1887,4344,552765,111665,10373,27654,65740,215432
m,f,1960,6837,603056,217258,15330,38842,91345,362775
u,u,1831,126,5322,289,32,101,49,471
u,u,1886,405,12391,1134,136,381,289,1940
f,f,1893,3144,740678,134932,12322,30744,91220,269218
u,m,1857,2308,92271,8212,683,2854,1608,13357
f,u,1840,87,7872,856,80,323,1064,2323
u,m,1855,1253,37160,3947,280,1189,828,6244
f,m,1947,6247,601533,219433,16459,39402,110644,385938
m,u,1897,709,78912,12420,1020,2950,7393,23783
u,u,1928,10886,181909,46430,3376,12393,9108,71307
m,m,1909,9906,1422217,265781,19089,61189,139183,485242
u,u,1834,289,9064,835,51,250,156,1292
u,u,1943,8045,147000,36653,2426,7878,7108,54065
u,m,1844,2249,69340,5557,503,2109,1016,9185
f,f,1990,6103,491168,265514,18080,43733,139267,466594
f,f,1838,635,139883,17754,1568,5643,17982,42947
u,u,1803,90,760,100,15,36,17,168
m,f,1934,5288,406359,159914,12679,32128,79158,283879
u,m,1837,1139,49394,3694,303,1323,758,6078
m,u,1912,1788,198742,38399,2836,8313,19840,69388
m,f,1817,597,104724,19015,1319,5283,16082,41699
m,u,1810,199,5901,1138,109,408,1033,2688
f,m,1904,2285,347834,69435,5174,16343,42122,133074
u,m,1861,851,25254,2520,224,701,466,3911
m,u,1832,1040,93053,11783,1031,3417,11463,27694
f,u,1910,506,82371,16094,1161,3478,10251,30984
m,u,1826,173,8186,2795,194,1040,2153,6182
m,u,1904,1653,180634,38023,3173,8759,19794,69749
u,u,1970,23229,428465,113970,8155,25000,22782,169907
f,f,1851,771,211170,33000,3026,9485,30162,75673
u,u,1870,185,8867,604,53,159,209,1025
u,f,1888,1503,49549,6684,670,1980,1762,11096
f,u,1985,10154,795280,341471,25804,63239,193572,624086
m,u,2008,14101,711730,362129,26619,69751,181169,639668
u,m,1824,688,15277,1307,112,549,304,2272
f,u,1961,8109,744599,294677,22593,55736,168055,541061
m,u,1849,384,40861,7814,713,2053,5714,16294
f,f,1994,7855,772865,413139,25692,65035,217044,720910
m,f,1849,1074,147230,24486,2038,6950,18911,52385
f,u,1829,87,14410,2625,270,796,1941,5632
m,f,1899,5296,762182,125294,10995,28911,68399,233599
u,u,1820,52,1103,109,13,32,28,182
m,f,1948,6306,577632,197925,14392,36265,86824,335406
f,u,1902,862,140437,26139,1976,5498,17665,51278
f,m,1982,6180,505496,222748,14549,38764,109141,385202
u,f,1944,2477,36180,10074,847,2312,2319,15552
m,f,1969,6653,502632,199262,14072,35898,88289,337521
u,f,1857,736,17206,2166,221,726,513,3626
f,u,1860,455,78043,12835,1099,3642,10718,28294
m,m,1904,7843,948344,182381,13511,42607,95484,333983
u,u,1840,174,5420,498,53,150,87,788
m,m,1959,19219,1654058,597573,38587,100905,267670,1004735
f,f,2008,7579,520349,391736,24988,64226,203015,683965
m,f,1871,2369,354749,62768,5558,15846,38004,122176
u,u,1920,1413,36901,5781,464,1514,1393,9152
f,m,1997,8426,692761,299982,19496,52395,154473,526346
f,f,1853,1145,303522,42494,3723,11294,33943,91454
u,f,1848,363,11853,841,87,311,170,1409
f,f,1882,1753,381751,73109,6603,17818,51134,148664
f,u,1963,6972,625893,229747,17233,45169,132838,424987
m,u,1976,29795,1886278,721339,53330,142937,359028,1276634
