1800	nan	nan	nan	0.038	0.346	0.482
1801	nan	nan	nan	0.207	0.270	0.334
1802	0.427	0.608	0.658	nan	nan	nan
1803	nan	nan	nan	0.227	0.442	0.738
1804	nan	nan	nan	0.286	0.356	0.441
1805	nan	nan	nan	0.121	0.183	0.246
1806	0.369	0.470	0.593	0.195	0.290	0.414
1807	0.331	0.436	0.572	0.075	0.395	0.494
1808	nan	nan	nan	0.280	0.325	0.380
1809	0.339	0.458	0.563	0.116	0.224	0.327
1810	0.339	0.429	0.523	0.187	0.361	0.508
1811	nan	nan	nan	0.236	0.419	0.571
1812	0.376	0.533	0.629	0.144	0.193	0.382
1813	0.381	0.499	0.577	nan	nan	nan
1814	0.452	0.546	0.634	nan	nan	nan
1815	0.317	0.393	0.486	0.216	0.325	0.411
1816	0.280	0.470	0.584	0.174	0.246	0.324
1817	0.308	0.432	0.570	0.188	0.372	0.459
1818	0.416	0.525	0.631	0.170	0.329	0.461
1819	0.362	0.458	0.582	0.183	0.270	0.375
1820	0.384	0.521	0.657	0.179	0.273	0.376
1821	0.457	0.577	0.707	0.160	0.224	0.288
1822	0.328	0.444	0.560	0.247	0.329	0.415
1823	0.335	0.478	0.649	0.219	0.274	0.338
1824	0.417	0.482	0.562	0.217	0.276	0.329
1825	0.423	0.553	0.676	0.226	0.268	0.315
1826	0.414	0.481	0.540	0.182	0.228	0.282
1827	0.426	0.514	0.589	0.240	0.291	0.342
1828	0.368	0.469	0.551	0.237	0.297	0.361
1829	0.428	0.555	0.632	0.213	0.246	0.282
1830	0.422	0.486	0.559	0.233	0.277	0.332
1831	0.483	0.563	0.651	0.212	0.248	0.288
1832	0.378	0.433	0.492	0.224	0.280	0.326
1833	0.433	0.488	0.542	0.219	0.266	0.321
1834	0.433	0.534	0.631	0.213	0.261	0.309
1835	0.448	0.490	0.530	0.232	0.278	0.319
1836	0.433	0.520	0.589	0.255	0.323	0.391
1837	0.411	0.519	0.602	0.193	0.234	0.277
1838	0.421	0.475	0.527	0.253	0.318	0.378
1839	0.432	0.524	0.601	0.209	0.258	0.315
1840	0.435	0.514	0.597	0.195	0.233	0.287
1841	0.430	0.487	0.526	0.228	0.266	0.309
1842	0.427	0.513	0.586	0.230	0.289	0.360
1843	0.342	0.420	0.503	0.159	0.198	0.241
1844	0.363	0.462	0.548	0.210	0.245	0.278
1845	0.353	0.420	0.465	0.249	0.295	0.349
1846	0.502	0.555	0.597	0.202	0.243	0.296
1847	0.480	0.590	0.678	0.269	0.351	0.429
1848	0.472	0.545	0.611	0.219	0.261	0.306
1849	0.355	0.430	0.498	0.225	0.263	0.298
1850	0.494	0.569	0.647	0.303	0.407	0.463
1851	0.490	0.550	0.604	0.213	0.263	0.329
1852	0.483	0.550	0.609	0.250	0.295	0.347
