1986	0.291	0.327	0.366
1987	0.344	0.381	0.419
1988	0.346	0.381	0.417
1989	0.321	0.354	0.388
1990	0.328	0.360	0.395
1991	0.353	0.387	0.423
1992	0.384	0.422	0.460
1993	0.354	0.389	0.425
1994	0.399	0.434	0.470
1995	0.371	0.406	0.442
1996	0.409	0.443	0.478
1997	0.370	0.400	0.429
1998	0.384	0.421	0.456
1999	0.406	0.442	0.483
2000	0.379	0.411	0.446
2001	0.385	0.422	0.457
2002	0.374	0.412	0.449
2003	0.375	0.411	0.445
2004	0.366	0.399	0.433
2005	0.379	0.410	0.445
2006	0.384	0.418	0.453
2007	0.396	0.430	0.466
