"Name"	"Gender"	"PercentFemale"	"PercentMale"	"RangeStart"	"RangeEnd"	"nothing"	"year"	"author"	"title"
"George Barr"	"M"	0.7	99.3	1880	1900	54	1905	"McCutcheon, George Barr"	"Nedra"
"Katherine Cecil"	"F"	99.9	0.1	1880	1900	55	1905	"Thurston, Katherine Cecil"	"The Gambler"
"Katherine Cecil"	"F"	99.9	0.1	1880	1900	56	1905	"Thurston, Katherine Cecil"	"The Masquerader"
"Edith"	"F"	99.6	0.4	1880	1900	57	1905	"Wharton, Edith"	"The House of Mirth"
"And"	"F"	0	0	1880	1900	58	1905	"Williamson, C. N. and A. M."	"The Princess Passes"
"Kate Douglas"	"F"	100	0	1880	1900	59	1905	"Wiggin, Kate Douglas"	"Rose o' the River"
"Winston"	"M"	0	100	1880	1901	60	1906	"Churchill, Winston"	"Coniston"
"Owen"	"M"	0	100	1880	1901	61	1906	"Wister, Owen"	"Lady Baltimore"
"Robert"	"M"	0.6	99.4	1880	1901	62	1906	"Chambers, Robert W."	"The Fighting Chance"
"Meredith"	"M"	28.2	71.8	1880	1901	63	1906	"Nicholson, Meredith"	"The House of a Thousand Candles"
"George Barr"	"M"	0.7	99.3	1880	1901	64	1906	"McCutcheon, George Barr"	"Jane Cable"
"Upton"	"M"	0	0	1880	1901	65	1906	"Sinclair, Upton"	"The Jungle"
"Margaret"	"F"	99.6	0.4	1880	1901	66	1906	"Deland, Margaret"	"The Awakening of Helena Ritchie"
"Rex"	"M"	0	100	1880	1901	67	1906	"Beach, Rex"	"The Spoilers"
"Edith"	"F"	99.6	0.4	1880	1901	68	1906	"Wharton, Edith"	"The House of Mirth"
"Ellen"	"F"	99.7	0.3	1880	1901	69	1906	"Glasgow, Ellen"	"The Wheel of Life"
"Frances"	"F"	99	1	1880	1902	70	1907	"Little, Frances"	"The Lady of the Decoration"
"Gilbert"	"M"	0	100	1880	1902	71	1907	"Parker, Gilbert"	"The Weavers"
"Meredith"	"M"	33.9	66.1	1880	1902	72	1907	"Nicholson, Meredith"	"The Port of Missing Men"
"Frances Hodgson"	"F"	99	1	1880	1902	73	1907	"Burnett, Frances Hodgson"	"The Shuttle"
"Louis"	"M"	1	99	1880	1902	74	1907	"Vance, Louis J."	"The Brass Bowl"
"Hallie Erminie"	"F"	91.4	8.6	1880	1902	75	1907	"Rives, Hallie Erminie"	"Satan Sanderson"
"George Barr"	"M"	0.7	99.3	1880	1902	76	1907	"McCutcheon, George Barr"	"The Daughter of Anderson Crow"
"Robert"	"M"	0.6	99.4	1880	1902	77	1907	"Chambers, Robert W."	"The Younger Set"
"Ralph"	"M"	0.6	99.4	1880	1902	78	1907	"Connor, Ralph"	"The Doctor"
"Harold"	"M"	0.4	99.6	1880	1902	79	1907	"MacGrath, Harold"	"Half a Rogue"
"Winston"	"M"	0	100	1880	1903	80	1908	"Churchill, Winston"	"Mr. Crewe's Career"
"Rex"	"M"	0	100	1880	1903	81	1908	"Beach, Rex"	"The Barrier"
"John Jr"	"M"	0.6	99.4	1880	1903	82	1908	"Fox, John Jr."	"The Trail of the Lonesome Pine"
"Harold"	"M"	0.4	99.6	1880	1903	83	1908	"MacGrath, Harold"	"The Lure of the Mask"
"Frances Hodgson"	"F"	99	1	1880	1903	84	1908	"Burnett, Frances Hodgson"	"The Shuttle"
"Hopkinson"	"M"	0	0	1880	1903	85	1908	"Smith, F. Hopkinson"	"Peter"
"Mary"	"F"	99.6	0.4	1880	1903	86	1908	"Johnston, Mary"	"Lewis Rand"
"Louis"	"M"	1	99	1880	1903	87	1908	"Vance, Louis J."	"The Black Bag"
"George Barr"	"M"	0.7	99.3	1880	1903	88	1908	"McCutcheon, George Barr"	"The Man from Brodney's"
"Gilbert"	"M"	0	100	1880	1903	89	1908	"Parker, Gilbert"	"The Weavers"
"Basil"	"M"	0	100	1880	1904	90	1909	"King, Basil"	"The Inner Shrine"
"Elinor Macartney"	"F"	100	0	1880	1904	91	1909	"Lane, Elinor Macartney"	"Katrine"
"Rex"	"M"	0	100	1880	1904	92	1909	"Beach, Rex"	"The Silver Horde"
"Mary Roberts"	"F"	99.6	0.4	1880	1904	93	1909	"Rinehart, Mary Roberts"	"The Man in Lower Ten"
"John Jr"	"M"	0.6	99.4	1880	1904	94	1909	"Fox, John Jr."	"The Trail of the Lonesome Pine"
"George Barr"	"M"	0.7	99.3	1880	1904	95	1909	"McCutcheon, George Barr"	"Truxton King"
"Emerson"	"M"	0	100	1880	1904	96	1909	"Hough, Emerson"	"54-40 or Fight"
"Harold"	"M"	0.4	99.6	1880	1904	97	1909	"MacGrath, Harold"	"The Goose Girl"
"Hopkinson"	"M"	0	0	1880	1904	98	1909	"Smith, F. Hopkinson"	"Peter"
"William"	"M"	0.5	99.5	1880	1904	99	1909	"Locke, William J."	"Septimus"
"Florence"	"F"	99.4	0.6	1880	1905	100	1910	"Barclay, Florence"	"The Rosary"
"Winston"	"M"	0	100	1880	1905	101	1910	"Churchill, Winston"	"A Modern Chronicle"
"Basil"	"M"	0	100	1880	1905	102	1910	"King, Basil"	"The Wild Olive"
"Katherine Cecil"	"F"	99.8	0.2	1880	1905	103	1910	"Thurston, Katherine Cecil"	"Max"
"Hallie Erminie"	"F"	91.7	8.3	1880	1905	104	1910	"Rives, Hallie Erminie"	"The Kingdom of Slender Swords"
"William"	"M"	0.5	99.5	1880	1905	105	1910	"Locke, William J."	"Simon the Jester"
"And"	"F"	0	0	1880	1905	106	1910	"Williamson, C. N. and A. M."	"Lord Loveland Discovers America"
"Mary Roberts"	"F"	99.6	0.4	1880	1905	107	1910	"Rinehart, Mary Roberts"	"The Window at the White Cat"
"Eleanor"	"F"	100	0	1880	1905	108	1910	"Abbott, Eleanor"	"Molly Make-Believe"
"Mary Roberts"	"F"	99.6	0.4	1880	1905	109	1910	"Rinehart, Mary Roberts"	"When a Man Marries"
"Jeffrey"	"M"	0	0	1880	1906	110	1911	"Farnol, Jeffrey"	"The Broad Highway"
"Vaughan"	"M"	0	0	1880	1906	111	1911	"Kester, Vaughan"	"The Prodigal Judge"
"Harold Bell"	"M"	0.4	99.6	1880	1906	112	1911	"Wright, Harold Bell"	"The Winning of Barbara Worth"
"Henry Sydnor"	"M"	0.8	99.2	1880	1906	113	1911	"Harrison, Henry Sydnor"	"Queed"
"Gene Stratton"	"M"	35	65	1880	1906	114	1911	"Porter, Gene Stratton"	"The Harvester"
"Margaret"	"F"	99.6	0.4	1880	1906	115	1911	"Deland, Margaret"	"The Iron Woman"
"Mary"	"F"	99.6	0.4	1880	1906	116	1911	"Johnston, Mary"	"The Long Roll"
"Eleanor"	"F"	99.9	0.1	1880	1906	117	1911	"Abbott, Eleanor"	"Molly Make-Believe"
"Florence"	"F"	99.5	0.5	1880	1906	118	1911	"Barclay, Florence"	"The Rosary"
"Robert"	"M"	0.6	99.4	1880	1906	119	1911	"Chambers, Robert W."	"The Common Law"
"Gene Stratton"	"M"	34.3	65.7	1880	1907	120	1912	"Porter, Gene Stratton"	"The Harvester"
"Basil"	"M"	0	100	1880	1907	121	1912	"King, Basil"	"The Street Called Straight"
"Harold Bell"	"M"	0.4	99.6	1880	1907	122	1912	"Wright, Harold Bell"	"Their Yesterdays"
"Maria Thompson"	"F"	100	0	1880	1907	123	1912	"Daviess, Maria Thompson"	"The Melting of Molly"
"Meredith"	"M"	43.9	56.1	1880	1907	124	1912	"Nicholson, Meredith"	"A Hoosier Chronicle"
"Harold Bell"	"M"	0.4	99.6	1880	1907	125	1912	"Wright, Harold Bell"	"The Winning of Barbara Worth"
"Vaughan"	"U"	0	0	1880	1907	126	1912	"Kester, Vaughan"	"The Just and the Unjust"
"Rex"	"M"	0	100	1880	1907	127	1912	"Beach, Rex"	"The Net"
"Anne Douglas"	"F"	99.9	0.1	1880	1907	128	1912	"Sedgwick, Anne Douglas"	"Tante"
"Breckenridge"	"M"	0	0	1880	1907	129	1912	"Ellis, J. Breckenridge"	"Fran"
"Winston"	"M"	0	100	1880	1908	130	1913	"Churchill, Winston"	"The Inside of the Cup"
"Henry Sydnor"	"M"	0.8	99.2	1880	1908	131	1913	"Harrison, Henry Sydnor"	"V. V.'s Eyes"
"Gene Stratton"	"M"	33.2	66.8	1880	1908	132	1913	"Porter, Gene Stratton"	"Laddie"
"Sir Gilbert"	"M"	0.4	99.6	1880	1908	133	1913	"Parker, Sir Gilbert"	"The Judgment House"
"John Jr"	"M"	0.6	99.4	1880	1908	134	1913	"Fox, John Jr."	"Heart of the Hills"
"Jeffrey"	"M"	0	0	1880	1908	135	1913	"Farnol, Jeffrey"	"The Amateur Gentleman"
"Hall"	"M"	0	100	1880	1908	136	1913	"Caine, Hall"	"The Woman Thou Gavest Me"
"Eleanor"	"F"	99.8	0.2	1880	1908	137	1913	"Porter, Eleanor H."	"Pollyanna"
"Hallie Erminie"	"F"	91.9	8.1	1880	1908	138	1913	"Rives, Hallie Erminie"	"The Valiants of Virginia"
"Frances Hodgson"	"F"	99.1	0.9	1880	1908	139	1913	"Burnett, Frances Hodgson"	"T. Tembarom"
"Harold Bell"	"M"	0.4	99.6	1880	1909	140	1914	"Wright, Harold Bell"	"The Eyes of the World"
"Eleanor"	"F"	99.9	0.1	1880	1909	141	1914	"Porter, Eleanor H."	"Pollyanna"
"Winston"	"M"	0	100	1880	1909	142	1914	"Churchill, Winston"	"The Inside of the Cup"
"Owen"	"M"	0	100	1880	1909	143	1914	"Johnson, Owen"	"The Salamander"
"William"	"M"	0.5	99.5	1880	1909	144	1914	"Locke, William J."	"The Fortunate Youth"
"Frances Hodgson"	"F"	99.1	0.9	1880	1909	145	1914	"Burnett, Frances Hodgson"	"T. Tembarom"
"Booth"	"M"	0	0	1880	1909	146	1914	"Tarkington, Booth"	"Penrod"
"Leona"	"F"	99.7	0.3	1880	1909	147	1914	"Dalrymple, Leona"	"Diane of the Green Van"
	"U"	0	0	1880	1909	148	1914	"Maxwell, W. B."	"The Devil's Garden"
"George Barr"	"M"	0.7	99.3	1880	1909	149	1914	"McCutcheon, George Barr"	"The Prince of Graustark"
"Booth"	"M"	0	0	1880	1910	150	1915	"Tarkington, Booth"	"The Turmoil"
"Winston"	"M"	0	100	1880	1910	151	1915	"Churchill, Winston"	"A Far Country"
"Gene Stratton"	"M"	32.5	67.5	1880	1910	152	1915	"Porter, Gene Stratton"	"Michael O'Halloran"
"Eleanor"	"F"	99.8	0.2	1880	1910	153	1915	"Porter, Eleanor H."	"Pollyanna Grows Up"
"Mary Roberts"	"F"	99.6	0.4	1880	1910	154	1915	"Rinehart, Mary Roberts"	"K"
"William"	"M"	0.5	99.5	1880	1910	155	1915	"Locke, William J."	"Jaffery"
"Hopkinson"	"M"	0	0	1880	1910	156	1915	"Smith, F. Hopkinson"	"Felix O'Day"
"Ernest"	"M"	0.6	99.4	1880	1910	157	1915	"Poole, Ernest"	"The Harbor"
"Zane"	"M"	0	0	1880	1910	158	1915	"Grey, Zane"	"The Lone Star Ranger"
"Henry Sydnor"	"M"	0.8	99.2	1880	1910	159	1915	"Harrison, Henry Sydnor"	"Angela's Business"
"Booth"	"M"	0	0	1880	1911	160	1916	"Tarkington, Booth"	"Seventeen"
"Harold Bell"	"M"	0.5	99.5	1880	1911	161	1916	"Wright, Harold Bell"	"When a Man's a Man"
"Eleanor"	"F"	99.8	0.2	1880	1911	162	1916	"Porter, Eleanor H."	"Just David"
	"M"	0	0	1880	1911	163	1916	"Wells, H. G."	"Mr. Britling Sees It Through"
"Ellen"	"F"	99.7	0.3	1880	1911	164	1916	"Glasgow, Ellen"	"Life and Gabriella"
"Henry Kitchell"	"M"	0.8	99.2	1880	1911	165	1916	"Webster, Henry Kitchell"	"The Real Adventure"
"Ethel"	"F"	99.5	0.5	1880	1911	166	1916	"Dell, Ethel M."	"Bars of Iron"
"Frank"	"M"	0.6	99.4	1880	1911	167	1916	"Spearman, Frank H."	"Nan of Music Mountain"
"Jean"	"F"	94.5	5.5	1880	1911	168	1916	"Webster, Jean"	"Dear Enemy"
"Kathleen"	"F"	100	0	1880	1911	169	1916	"Norris, Kathleen"	"The Heart of Rachael"
	"M"	0	0	1880	1912	170	1917	"Wells, H. G."	"Mr. Britling Sees It Through"
"Irving"	"M"	0	100	1880	1912	171	1917	"Bacheller, Irving"	"The Light in the Clearing"
"William"	"M"	0.5	99.5	1880	1912	172	1917	"Locke, William J."	"The Red Planet"
