"Name"	"Gender"	"PercentFemale"	"PercentMale"	"RangeStart"	"RangeEnd"	"nothing"	"year"	"author"	"title"
"Warwick"	"M"	0	100	1880	1921	263	1926	"Deeping, Warwick"	"Sorrell and Son"
"Sylvia"	"F"	99.7	0.3	1880	1921	264	1926	"Thompson, Sylvia"	"The Hounds of Spring"
	"M"	0	0	1880	1921	265	1926	"Wren, P. C."	"Beau Sabreur"
"John"	"M"	0.5	99.5	1880	1921	266	1926	"Galsworthy, John"	"The Silver Spoon"
	"M"	0	0	1880	1921	267	1926	"Wren, P. C."	"Beau Geste"
"Edna"	"F"	99.7	0.3	1880	1921	268	1926	"Ferber, Edna"	"Show Boat"
"Susan"	"F"	99.9	0.1	1880	1921	269	1926	"Ertz, Susan"	"After Noon"
"Temple"	"F"	44.9	55.1	1880	1921	270	1926	"Bailey, Temple"	"The Blue Window"
"Sinclair"	"M"	0	100	1880	1922	271	1927	"Lewis, Sinclair"	"Elmer Gantry"
"Booth"	"M"	0	100	1880	1922	272	1927	"Tarkington, Booth"	"The Plutocrat"
"Warwick"	"M"	0	100	1880	1922	273	1927	"Deeping, Warwick"	"Doomsday"
"Warwick"	"M"	0	100	1880	1922	274	1927	"Deeping, Warwick"	"Sorrell and Son"
"La Roche Mazo"	"F"	100	0	1880	1922	275	1927	"de la Roche, Mazo"	"Jalna"
"Mary Roberts"	"F"	99.7	0.3	1880	1922	276	1927	"Rinehart, Mary Roberts"	"Lost Ecstasy"
"Edith"	"F"	99.7	0.3	1880	1922	277	1927	"Wharton, Edith"	"Twilight Sleep"
"Anne"	"F"	99.8	0.2	1880	1922	278	1927	"Parrish, Anne"	"Tomorrow Morning"
"Anne Douglas"	"F"	99.8	0.2	1880	1922	279	1927	"Sedgwick, Anne Douglas"	"The Old Countess"
"Louis"	"M"	0.8	99.2	1880	1922	280	1927	"Bromfield, Louis"	"A Good Woman"
"Thornton"	"M"	0	100	1880	1923	281	1928	"Wilder, Thornton"	"The Bridge of San Luis Rey"
"Hugh"	"M"	0.7	99.3	1880	1923	282	1928	"Walpole, Hugh"	"Wintersmoon"
"John"	"M"	0.5	99.5	1880	1923	283	1928	"Galsworthy, John"	"Swan Song"
"Dine"	"M"	0	0	1880	1923	284	1928	"Van Dine, S. S."	"The Greene Murder Case"
"Vina"	"F"	100	0	1880	1923	285	1928	"Delmar, Vina"	"Bad Girl"
"Booth"	"M"	0	100	1880	1923	286	1928	"Tarkington, Booth"	"Claire Ambler"
"Warwick"	"M"	0	100	1880	1923	287	1928	"Deeping, Warwick"	"Old Pybus"
"Anne"	"F"	99.8	0.2	1880	1923	288	1928	"Parrish, Anne"	"All Kneeling"
"La Roche Mazo"	"F"	100	0	1880	1923	289	1928	"de la Roche, Mazo"	"Jalna"
"Louis"	"M"	0.8	99.2	1880	1923	290	1928	"Bromfield, Louis"	"The Strange Case of Miss Annie Spragg"
"Erich Maria"	"M"	0	100	1880	1924	291	1929	"Remarque, Erich Maria"	"All Quiet on the Western Front"
"Sinclair"	"M"	0	100	1880	1924	292	1929	"Lewis, Sinclair"	"Dodsworth"
"Anne Douglas"	"F"	99.8	0.2	1880	1924	293	1929	"Sedgwick, Anne Douglas"	"Dark Hester"
"Dine"	"M"	0	0	1880	1924	294	1929	"Van Dine, S. S."	"The Bishop Murder Case"
"Warwick"	"M"	0	100	1880	1924	295	1929	"Deeping, Warwick"	"Roper's Row"
	"M"	0	0	1880	1924	296	1929	"Rolvaag, O. E."	"Peder Victorious"
"Dubose"	"M"	0	0	1880	1924	297	1929	"Heyward, DuBose"	"Mamba's Daughters"
"Susan"	"F"	99.9	0.1	1880	1924	298	1929	"Ertz, Susan"	"The Galaxy"
"Julia"	"F"	99.6	0.4	1880	1924	299	1929	"Peterkin, Julia"	"Scarlet Sister Mary"
	"M"	0	0	1880	1924	300	1929	"Freeman, H. W."	"Joseph and His Brethren"
"Edna"	"F"	99.7	0.3	1880	1925	301	1930	"Ferber, Edna"	"Cimarron"
"Warwick"	"M"	0	100	1880	1925	302	1930	"Deeping, Warwick"	"Exile"
"Thornton"	"M"	0	100	1880	1925	303	1930	"Wilder, Thornton"	"The Woman of Andros"
"Margaret Ayer"	"F"	99.7	0.3	1880	1925	304	1930	"Barnes, Margaret Ayer"	"Years of Grace"
	"M"	0	0	1880	1925	305	1930	"Priestley, J. B."	"Angel Pavement"
"Mary Roberts"	"F"	99.7	0.3	1880	1925	306	1930	"Rinehart, Mary Roberts"	"The Door"
"Hugh"	"M"	0.7	99.3	1880	1925	307	1930	"Walpole, Hugh"	"Rogue Herries"
"Hamilton"	"M"	0	100	1880	1925	308	1930	"Gibbs, A. Hamilton"	"Chances"
"Katharine"	"F"	100	0	1880	1925	309	1930	"Brush, Katharine"	"Young Man of Manhattan"
"Louis"	"M"	0.8	99.2	1880	1925	310	1930	"Bromfield, Louis"	"Twenty-Four Hours"
"Pearl"	"F"	97.7	2.3	1880	1926	311	1931	"Buck, Pearl S."	"The Good Earth"
"Willa"	"F"	100	0	1880	1926	312	1931	"Cather, Willa"	"Shadows on the Rock"
"Bess Streeter"	"F"	99.8	0.2	1880	1926	313	1931	"Aldrich, Bess Streeter"	"A White Bird Flying"
"Vicki"	"F"	100	0	1880	1926	314	1931	"Baum, Vicki"	"Grand Hotel"
"Margaret Ayer"	"F"	99.7	0.3	1880	1926	315	1931	"Barnes, Margaret Ayer"	"Years of Grace"
"Erich Maria"	"M"	0	100	1880	1926	316	1931	"Remarque, Erich Maria"	"The Road Back"
"Warwick"	"M"	0	100	1880	1926	317	1931	"Deeping, Warwick"	"The Bridge of Desire"
"Fannie"	"F"	99.5	0.5	1880	1926	318	1931	"Hurst, Fannie"	"Back Street"
"La Roche Mazo"	"F"	85.3	14.7	1880	1926	319	1931	"de la Roche, Mazo"	"Finch's Fortune"
"John"	"M"	0.5	99.5	1880	1926	320	1931	"Galsworthy, John"	"Maid in Waiting"
"Pearl"	"F"	97.6	2.4	1880	1927	321	1932	"Buck, Pearl S."	"The Good Earth"
"Charles"	"M"	0.6	99.4	1880	1927	322	1932	"Morgan, Charles"	"The Fountain"
"Pearl"	"F"	97.6	2.4	1880	1927	323	1932	"Buck, Pearl S."	"Sons"
"Louis"	"M"	0.9	99.1	1880	1927	324	1932	"Golding, Louis"	"Magnolia Street"
"Ellen"	"F"	99.7	0.3	1880	1927	325	1932	"Glasgow, Ellen"	"The Sheltered Life"
"Warwick"	"M"	0	100	1880	1927	326	1932	"Deeping, Warwick"	"Old Wine and New"
"Booth"	"M"	0	100	1880	1927	327	1932	"Tarkington, Booth"	"Mary's Neck"
"Lloyd"	"M"	0.7	99.3	1880	1927	328	1932	"Douglas, Lloyd C."	"Magnificent Obsession"
"Phyllis"	"F"	99.8	0.2	1880	1927	329	1932	"Bentley, Phyllis"	"Inheritance"
	"M"	0	0	1880	1927	330	1932	"Cronin, A. J."	"Three Loves"
"Hervey"	"M"	0	100	1880	1928	331	1933	"Allen, Hervey"	"Anthony Adverse"
"Gladys Hasty"	"F"	99.6	0.4	1880	1928	332	1933	"Carroll, Gladys Hasty"	"As the Earth Turns"
"Sinclair"	"M"	0	100	1880	1928	333	1933	"Lewis, Sinclair"	"Ann Vickers"
"Lloyd"	"M"	0.7	99.3	1880	1928	334	1933	"Douglas, Lloyd C."	"Magnificent Obsession"
"John"	"M"	0.6	99.4	1880	1928	335	1933	"Galsworthy, John"	"One More River"
"Lloyd"	"M"	0.7	99.3	1880	1928	336	1933	"Douglas, Lloyd C."	"Forgive Us Our Trespasses"
"La Roche Mazo"	"F"	87.5	12.5	1880	1928	337	1933	"de la Roche, Mazo"	"The Master of Jalna"
"Bess Streeter"	"F"	99.8	0.2	1880	1928	338	1933	"Aldrich, Bess Streeter"	"Miss Bishop"
"Louis"	"M"	0.9	99.1	1880	1928	339	1933	"Bromfield, Louis"	"The Farm"
"Hans"	"M"	0	100	1880	1928	340	1933	"Fallada, Hans"	"Little Man, What Now?"
"Hervey"	"M"	0	100	1880	1929	341	1934	"Allen, Hervey"	"Anthony Adverse"
"Caroline"	"F"	99.9	0.1	1880	1929	342	1934	"Miller, Caroline"	"Lamb in His Bosom"
"Stark"	"M"	0	0	1880	1929	343	1934	"Young, Stark"	"So Red the Rose"
"James"	"M"	0.6	99.4	1880	1929	344	1934	"Hilton, James"	"Good-Bye, Mr. Chips"
"Margaret Ayer"	"F"	99.7	0.3	1880	1929	345	1934	"Barnes, Margaret Ayer"	"Within This Present"
"Sinclair"	"M"	0	100	1880	1929	346	1934	"Lewis, Sinclair"	"Work of Art"
"Phyllis"	"F"	99.8	0.2	1880	1929	347	1934	"Bottome, Phyllis"	"Private Worlds"
"Mary Ellen"	"F"	99.7	0.3	1880	1929	348	1934	"Chase, Mary Ellen"	"Mary Peters"
"Alice Tisdale"	"F"	99.7	0.3	1880	1929	349	1934	"Hobart, Alice Tisdale"	"Oil for the Lamps of China"
"Isak"	"F"	0	0	1880	1929	350	1934	"Dinesen, Isak"	"Seven Gothic Tales"
"Lloyd"	"M"	0.8	99.2	1880	1930	351	1935	"Douglas, Lloyd C."	"Green Light"
"Ellen"	"F"	99.7	0.3	1880	1930	352	1935	"Glasgow, Ellen"	"Vein of Iron"
"Thomas"	"M"	0.6	99.4	1880	1930	353	1935	"Wolfe, Thomas"	"Of Time and the River"
"Rachel"	"F"	99.6	0.4	1880	1930	354	1935	"Field, Rachel"	"Time Out of Mind"
"James"	"M"	0.6	99.4	1880	1930	355	1935	"Hilton, James"	"Good-Bye, Mr. Chips"
"Franz"	"M"	0	100	1880	1930	356	1935	"Werfel, Franz"	"The Forty Days of Musa Dagh"
"Thornton"	"M"	0	100	1880	1930	357	1935	"Wilder, Thornton"	"Heaven's My Destination"
"James"	"M"	0.6	99.4	1880	1930	358	1935	"Hilton, James"	"Lost Horizon"
"Edna"	"F"	99.6	0.4	1880	1930	359	1935	"Ferber, Edna"	"Come and Get It"
"Robert"	"M"	0.5	99.5	1880	1930	360	1935	"Briffault, Robert"	"Europa"
"Margaret"	"F"	99.7	0.3	1880	1931	361	1936	"Mitchell, Margaret"	"Gone with the Wind"
"George"	"M"	0.7	99.3	1880	1931	362	1936	"Santayana, George"	"The Last Puritan"
"Charles"	"M"	0.6	99.4	1880	1931	363	1936	"Morgan, Charles"	"Sparkenbroke"
"Walter"	"M"	0.6	99.4	1880	1931	364	1936	"Edmonds, Walter D."	"Drums Along the Mohawk"
"Sinclair"	"M"	0	100	1880	1931	365	1936	"Lewis, Sinclair"	"It Can't Happen Here"
"Lloyd"	"M"	0.8	99.2	1880	1931	366	1936	"Douglas, Lloyd C."	"White Banners"
"Charles And James Norman Hall"	"M"	0.6	99.4	1880	1931	367	1936	"Nordhoff, Charles, and James Norman Hall"	"The Hurricane"
"Rebecca"	"F"	99.6	0.4	1880	1931	368	1936	"West, Rebecca"	"The Thinking Reed"
"Mary Roberts"	"F"	99.6	0.4	1880	1931	369	1936	"Rinehart, Mary Roberts"	"The Doctor"
"Aldous"	"M"	0	0	1880	1931	370	1936	"Huxley, Aldous"	"Eyeless in Gaza"
"Margaret"	"F"	99.7	0.3	1880	1932	371	1937	"Mitchell, Margaret"	"Gone with the Wind"
"Kenneth"	"M"	0.6	99.4	1880	1932	372	1937	"Roberts, Kenneth"	"Northwest Passage"
	"M"	0	0	1880	1932	373	1937	"Cronin, A. J."	"The Citadel"
"Vaughan"	"M"	0	100	1880	1932	374	1937	"Wilkins, Vaughan"	"And So-Victoria"
"Walter"	"M"	0.6	99.4	1880	1932	375	1937	"Edmonds, Walter D."	"Drums Along the Mohawk"
"Virginia"	"F"	99.7	0.3	1880	1932	376	1937	"Woolf, Virginia"	"The Years"
"Somerset"	"U"	0	0	1880	1932	377	1937	"Maugham, W. Somerset"	"Theatre"
"John"	"M"	0.6	99.4	1880	1932	378	1937	"Steinbeck, John"	"Of Mice and Men"
"Louis"	"M"	0.9	99.1	1880	1932	379	1937	"Bromfield, Louis"	"The Rains Came"
"James"	"M"	0.6	99.4	1880	1932	380	1937	"Hilton, James"	"We Are Not Alone"
"Marjorie Kinnan"	"F"	99.8	0.2	1880	1933	381	1938	"Rawlings, Marjorie Kinnan"	"The Yearling"
	"M"	0	0	1880	1933	382	1938	"Cronin, A. J."	"The Citadel"
"Howard"	"M"	0.6	99.4	1880	1933	383	1938	"Spring, Howard"	"My Son, My Son!"
"Maurier Daphne"	"F"	100	0	1880	1933	384	1938	"du Maurier, Daphne"	"Rebecca"
"Kenneth"	"M"	0.5	99.5	1880	1933	385	1938	"Roberts, Kenneth"	"Northwest Passage"
"Rachel"	"F"	99.6	0.4	1880	1933	386	1938	"Field, Rachel"	"All This, and Heaven Too"
"Louis"	"M"	0.9	99.1	1880	1933	387	1938	"Bromfield, Louis"	"The Rains Came"
"Laura"	"F"	99.6	0.4	1880	1933	388	1938	"Krey, Laura"	"And Tell of Time"
"Phyllis"	"F"	99.7	0.3	1880	1933	389	1938	"Bottome, Phyllis"	"The Mortal Storm"
"Hervey"	"M"	0	100	1880	1933	390	1938	"Allen, Hervey"	"Action at Aquila"
"John"	"M"	0.6	99.4	1880	1934	391	1939	"Steinbeck, John"	"The Grapes of Wrath"
"Rachel"	"F"	99.5	0.5	1880	1934	392	1939	"Field, Rachel"	"All This, and Heaven Too"
"Maurier Daphne"	"F"	100	0	1880	1934	393	1939	"du Maurier, Daphne"	"Rebecca"
"John"	"M"	0.6	99.4	1880	1934	394	1939	"Marquand, John P."	"Wickford Point"
"Ethel"	"F"	99.5	0.5	1880	1934	395	1939	"Vance, Ethel"	"Escape"
"Lloyd"	"M"	0.8	99.2	1880	1934	396	1939	"Douglas, Lloyd C."	"Disputed Passage"
"Marjorie Kinnan"	"F"	99.8	0.2	1880	1934	397	1939	"Rawlings, Marjorie Kinnan"	"The Yearling"
"Elizabeth"	"F"	99.7	0.3	1880	1934	398	1939	"Page, Elizabeth"	"The Tree of Liberty"
"Sholem"	"M"	0	0	1880	1934	399	1939	"Asch, Sholem"	"The Nazarene"
"Christopher"	"M"	0	100	1880	1934	400	1939	"Morley, Christopher"	"Kitty Foyle"
"Richard"	"M"	0.5	99.5	1880	1935	401	1940	"Llewellyn, Richard"	"How Green Was My Valley"
"Christopher"	"M"	0	100	1880	1935	402	1940	"Morley, Christopher"	"Kitty Foyle"
"Jan"	"F"	55	45	1880	1935	403	1940	"Struther, Jan"	"Mrs. Miniver"
"Ernest"	"M"	0.6	99.4	1880	1935	404	1940	"Hemingway, Ernest"	"For Whom the Bell Tolls"
"Sholem"	"M"	0	0	1880	1935	405	1940	"Asch, Sholem"	"The Nazarene"
"Van Wyck"	"M"	4.7	95.3	1880	1935	406	1940	"Mason, F. van Wyck"	"Stars on the Sea"
"Kenneth"	"M"	0.5	99.5	1880	1935	407	1940	"Roberts, Kenneth"	"Oliver Wiswell"
"John"	"M"	0.6	99.4	1880	1935	408	1940	"Steinbeck, John"	"The Grapes of Wrath"
"Louis"	"M"	0.9	99.1	1880	1935	409	1940	"Bromfield, Louis"	"Night in Bombay"
"Nina"	"F"	99.7	0.3	1880	1935	410	1940	"Fedorova, Nina"	"The Family"
	"M"	0	0	1880	1936	411	1941	"Cronin, A. J."	"The Keys of the Kingdom"
"James"	"M"	0.6	99.4	1880	1936	412	1941	"Hilton, James"	"Random Harvest"
"Eric"	"M"	0	100	1880	1936	413	1941	"Knight, Eric"	"This Above All"
"Marguerite"	"F"	99.8	0.2	1880	1936	414	1941	"Steen, Marguerite"	"The Sun Is My Undoing"
"Ernest"	"M"	0.6	99.4	1880	1936	415	1941	"Hemingway, Ernest"	"For Whom the Bell Tolls"
"Kenneth"	"M"	0.5	99.5	1880	1936	416	1941	"Roberts, Kenneth"	"Oliver Wiswell"
"John"	"M"	0.6	99.4	1880	1936	417	1941	"Marquand, John P."	"H. M. Pulham, Esquire"
"Isabel Scott"	"F"	97.3	2.7	1880	1936	418	1941	"Rorick, Isabel Scott"	"Mr. and Mrs. Cugat"
"Edna"	"F"	99.6	0.4	1880	1936	419	1941	"Ferber, Edna"	"Saratoga Trunk"
"Mary Ellen"	"F"	99.6	0.4	1880	1936	420	1941	"Chase, Mary Ellen"	"Windswept"
"Franz"	"M"	0	100	1880	1937	421	1942	"Werfel, Franz"	"The Song of Bernadette"
"John"	"M"	0.6	99.4	1880	1937	422	1942	"Steinbeck, John"	"The Moon Is Down"
"Pearl"	"F"	97.5	2.5	1880	1937	423	1942	"Buck, Pearl S."	"Dragon Seed"
"Rachel"	"F"	99.5	0.5	1880	1937	424	1942	"Field, Rachel"	"And Now Tomorrow"
"Elizabeth"	"F"	99.7	0.3	1880	1937	425	1942	"Pickett, Elizabeth"	"Drivin' Woman"
"Mary Ellen"	"F"	99.6	0.4	1880	1937	426	1942	"Chase, Mary Ellen"	"Windswept"
"Lloyd"	"M"	0.8	99.2	1880	1937	427	1942	"Douglas, Lloyd C."	"The Robe"
"Marguerite"	"F"	99.8	0.2	1880	1937	428	1942	"Steen, Marguerite"	"The Sun Is My Undoing"
"Henry"	"M"	0.8	99.2	1880	1937	429	1942	"Bellamann, Henry"	"Kings Row"
	"M"	0	0	1880	1937	430	1942	"Cronin, A. J."	"The Keys of the Kingdom"
"Lloyd"	"M"	0.8	99.2	1880	1938	431	1943	"Douglas, Lloyd C."	"The Robe"
"Marcia"	"F"	99.7	0.3	1880	1938	432	1943	"Davenport, Marcia"	"The Valley of Decision"
"John"	"M"	0.6	99.4	1880	1938	433	1943	"Marquand, John P."	"So Little Time"
"Betty"	"F"	99.6	0.4	1880	1938	434	1943	"Smith, Betty"	"A Tree Grows in Brooklyn"
"William"	"M"	0.5	99.5	1880	1938	435	1943	"Saroyan, William"	"The Human Comedy"
"Louis"	"M"	0.9	99.1	1880	1938	436	1943	"Bromfield, Louis"	"Mrs. Parkington"
"Sholem"	"M"	0	0	1880	1938	437	1943	"Asch, Sholem"	"The Apostle"
"Maurier Daphne"	"F"	100	0	1880	1938	438	1943	"du Maurier, Daphne"	"Hungry Hill"
"Hervey"	"M"	0	100	1880	1938	439	1943	"Allen, Hervey"	"The Forest and the Fort"
"Franz"	"M"	0	100	1880	1938	440	1943	"Werfel, Franz"	"The Song of Bernadette"
"Lillian"	"F"	99.6	0.4	1880	1939	441	1944	"Smith, Lillian"	"Strange Fruit"
"Lloyd"	"M"	0.8	99.2	1880	1939	442	1944	"Douglas, Lloyd C."	"The Robe"
"Betty"	"F"	99.6	0.4	1880	1939	443	1944	"Smith, Betty"	"A Tree Grows in Brooklyn"
"Kathleen"	"F"	99.7	0.3	1880	1939	444	1944	"Winsor, Kathleen"	"Forever Amber"
"Somerset"	"M"	0	0	1880	1939	445	1944	"Maugham, W. Somerset"	"The Razor's Edge"
	"M"	0	0	1880	1939	446	1944	"Cronin, A. J."	"The Green Years"
"Ben Ames"	"M"	0.9	99.1	1880	1939	447	1944	"Williams, Ben Ames"	"Leave Her to Heaven"
"Elizabeth"	"F"	99.7	0.3	1880	1939	448	1944	"Goudge, Elizabeth"	"Green Dolphin Street"
"John"	"M"	0.6	99.4	1880	1939	449	1944	"Hersey, John"	"A Bell for Adano"
"Sholem"	"M"	0	0	1880	1939	450	1944	"Asch, Sholem"	"The Apostle"
"Kathleen"	"F"	99.7	0.3	1880	1940	451	1945	"Winsor, Kathleen"	"Forever Amber"
"Lloyd"	"M"	0.8	99.2	1880	1940	452	1945	"Douglas, Lloyd C."	"The Robe"
"Thomas"	"M"	0.5	99.5	1880	1940	453	1945	"Costain, Thomas B."	"The Black Rose"
"James Ramsey"	"M"	0.5	99.5	1880	1940	454	1945	"Ullman, James Ramsey"	"The White Tower"
"Sinclair"	"M"	0	100	1880	1940	455	1945	"Lewis, Sinclair"	"Cass Timberlane"
"Adria Locke"	"F"	100	0	1880	1940	456	1945	"Langley, Adria Locke"	"A Lion Is in the Streets"
"James"	"M"	0.5	99.5	1880	1940	457	1945	"Hilton, James"	"So Well Remembered"
"Samuel"	"M"	0.4	99.6	1880	1940	458	1945	"Shellabarger, Samuel"	"Captain from Castile"
"Gwethalyn"	"F"	0	0	1880	1940	459	1945	"Graham, Gwethalyn"	"Earth and High Heaven"
"Irving"	"M"	0.3	99.7	1880	1940	460	1945	"Stone, Irving"	"Immortal Wife"
"Maurier Daphne"	"F"	100	0	1880	1941	461	1946	"du Maurier, Daphne"	"The King's General"
"Taylor"	"M"	0	100	1880	1941	462	1946	"Caldwell, Taylor"	"This Side of Innocence"
"Frances Parkinson"	"F"	99.2	0.8	1880	1941	463	1946	"Keyes, Frances Parkinson"	"The River Road"
"Russell"	"M"	0.6	99.4	1880	1941	464	1946	"Janney, Russell"	"The Miracle of the Bells"
"Frederic"	"M"	0	100	1880	1941	465	1946	"Wakeman, Frederic"	"The Hucksters"
"Frank"	"M"	0.6	99.4	1880	1941	466	1946	"Yerby, Frank"	"The Foxes of Harrow"
"Erich Maria"	"M"	0	100	1880	1941	467	1946	"Remarque, Erich Maria"	"Arch of Triumph"
"Thomas"	"M"	0.5	99.5	1880	1941	468	1946	"Costain, Thomas B."	"The Black Rose"
"John"	"M"	0.5	99.5	1880	1941	469	1946	"Marquand, John P."	"B. F.'s Daughter"
"Mary Jane"	"F"	99.6	0.4	1880	1941	470	1946	"Ward, Mary Jane"	"The Snake Pit"
"Russell"	"M"	0.6	99.4	1880	1942	471	1947	"Janney, Russell"	"The Miracle of the Bells"
"Thomas"	"M"	0.5	99.5	1880	1942	472	1947	"Costain, Thomas B."	"The Moneyman"
"Laura"	"F"	99.6	0.4	1880	1942	473	1947	"Hobson, Laura Z."	"Gentleman's Agreement"
"Kenneth"	"M"	0.5	99.5	1880	1942	474	1947	"Roberts, Kenneth"	"Lydia Bailey"
"Frank"	"M"	0.6	99.4	1880	1942	475	1947	"Yerby, Frank"	"The Vixens"
"John"	"M"	0.5	99.5	1880	1942	476	1947	"Steinbeck, John"	"The Wayward Bus"
"Ben Ames"	"M"	0.9	99.1	1880	1942	477	1947	"Williams, Ben Ames"	"House Divided"
"Sinclair"	"M"	0	100	1880	1942	478	1947	"Lewis, Sinclair"	"Kingsblood Royal"
"Marcia"	"F"	99.6	0.4	1880	1942	479	1947	"Davenport, Marcia"	"East Side, West Side"
"Samuel"	"M"	0.4	99.6	1880	1942	480	1947	"Shellabarger, Samuel"	"Prince of Foxes"
"Lloyd"	"M"	0.8	99.2	1880	1943	481	1948	"Douglas, Lloyd C."	"The Big Fisherman"
"Norman"	"M"	0.7	99.3	1880	1943	482	1948	"Mailer, Norman"	"The Naked and the Dead"
"Frances Parkinson"	"F"	99.2	0.8	1880	1943	483	1948	"Keyes, Frances Parkinson"	"Dinner at Antoine's"
"Agnes Sligh"	"F"	99.6	0.4	1880	1943	484	1948	"Turnbull, Agnes Sligh"	"The Bishop's Mantle"
"Betty"	"F"	99.6	0.4	1880	1943	485	1948	"Smith, Betty"	"Tomorrow Will Be Better"
"Frank"	"M"	0.6	99.4	1880	1943	486	1948	"Yerby, Frank"	"The Golden Hawk"
"Ross Jr"	"M"	1.2	98.8	1880	1943	487	1948	"Lockridge, Ross Jr."	"Raintree County"
	"M"	0	0	1880	1943	488	1948	"Cronin, A. J."	"Shannon's Way"
"Elizabeth"	"F"	99.7	0.3	1880	1943	489	1948	"Goudge, Elizabeth"	"Pilgrim's Inn"
"Shawirwin"	"M"	0	0	1880	1943	490	1948	"Shaw,Irwin"	"The Young Lions"
"Mika"	"M"	0	0	1880	1944	491	1949	"Waltari, Mika"	"The Egyptian"
"Lloyd"	"M"	0.8	99.2	1880	1944	492	1949	"Douglas, Lloyd C."	"The Big Fisherman"
"Sholem"	"M"	0	0	1880	1944	493	1949	"Asch, Sholem"	"Mary"
"John"	"M"	0.5	99.5	1880	1944	494	1949	"O'Hara, John"	"A Rage to Live"
"John"	"M"	0.5	99.5	1880	1944	495	1949	"Marquand, John P."	"Point of No Return"
"Frances Parkinson"	"F"	99.2	0.8	1880	1944	496	1949	"Keyes, Frances Parkinson"	"Dinner at Antoine's"
"Thomas"	"M"	0.5	99.5	1880	1944	497	1949	"Costain, Thomas B."	"High Towers"
"Van Wyck"	"M"	4.6	95.4	1880	1944	498	1949	"Mason, Van Wyck"	"Cutlass Empire"
"Frank"	"M"	0.6	99.4	1880	1944	499	1949	"Yerby, Frank"	"Pride's Castle"
"Edward"	"M"	0.4	99.6	1880	1944	500	1949	"Streeter, Edward"	"Father of the Bride"
"Henry Morton"	"M"	0.8	99.2	1880	1945	501	1950	"Robinson, Henry Morton"	"The Cardinal"
"Frances Parkinson"	"F"	99.2	0.8	1880	1945	502	1950	"Keyes, Frances Parkinson"	"Joy Street"
"Ernest"	"M"	0.6	99.4	1880	1945	503	1950	"Hemingway, Ernest"	"Across the River and into the Trees"
"John"	"M"	0.5	99.5	1880	1945	504	1950	"Hersey, John"	"The Wall"
"Kathleen"	"F"	99.7	0.3	1880	1945	505	1950	"Winsor, Kathleen"	"Star Money"
"Maurier Daphne"	"F"	100	0	1880	1945	506	1950	"du Maurier, Daphne"	"The Parasites"
"Frank"	"M"	0.5	99.5	1880	1945	507	1950	"Yerby, Frank"	"Floodtide"
"Gwen"	"F"	97.7	2.3	1880	1945	508	1950	"Bristow, Gwen"	"Jubilee Trail"
"Mika"	"M"	0	0	1880	1945	509	1950	"Waltari, Mika"	"The Adventurer"
"Budd"	"M"	0	100	1880	1945	510	1950	"Schulberg, Budd"	"The Disenchanted"
"James"	"M"	0.5	99.5	1881	1946	511	1951	"Jones, James"	"From Here to Eternity"
"Herman"	"M"	0.6	99.4	1881	1946	512	1951	"Wouk, Herman"	"The Caine Mutiny"
"Sholem"	"M"	0	0	1881	1946	513	1951	"Asch, Sholem"	"Moses"
"Henry Morton"	"M"	0.8	99.2	1881	1946	514	1951	"Robinson, Henry Morton"	"The Cardinal"
"Frank"	"M"	0.5	99.5	1881	1946	515	1951	"Yerby, Frank"	"A Woman Called Fancy"
"Nicholas"	"M"	0.5	99.5	1881	1946	516	1951	"Monsarrat, Nicholas"	"The Cruel Sea"
"John"	"M"	0.5	99.5	1881	1946	517	1951	"Marquand, John P."	"Melville Goodwin, U.S.A."
"James"	"M"	0.5	99.5	1881	1946	518	1951	"Michener, James A."	"Return to Paradise"
"Cardinal"	"M"	0	0	1881	1946	519	1951	"Spellman, Cardinal"	"The Foundling"
"Mika"	"M"	0	0	1881	1946	520	1951	"Waltari, Mika"	"The Wanderer"
"Thomas"	"M"	0.4	99.6	1882	1947	521	1952	"Costain, Thomas B."	"The Silver Chalice"
"Herman"	"M"	0.6	99.4	1882	1947	522	1952	"Wouk, Herman"	"The Caine Mutiny"
"John"	"M"	0.5	99.5	1882	1947	523	1952	"Steinbeck, John"	"East of Eden"
"Maurier Daphne"	"F"	100	0	1882	1947	524	1952	"du Maurier, Daphne"	"My Cousin Rachel"
"Frances Parkinson"	"F"	99.2	0.8	1882	1947	525	1952	"Keyes, Frances Parkinson"	"Steamboat Gothic"
"Edna"	"F"	99.6	0.4	1882	1947	526	1952	"Ferber, Edna"	"Giant"
"Ernest"	"M"	0.6	99.4	1882	1947	527	1952	"Hemingway, Ernest"	"The Old Man and the Sea"
"Agnes Sligh"	"F"	99.7	0.3	1882	1947	528	1952	"Turnbull, Agnes Sligh"	"The Gown of Glory"
"Frank"	"M"	0.5	99.5	1882	1947	529	1952	"Yerby, Frank"	"The Saracen Blade"
"Howard"	"M"	0.5	99.5	1882	1947	530	1952	"Spring, Howard"	"The Houses in Between"
"Lloyd"	"M"	0.7	99.3	1883	1948	531	1953	"Douglas, Lloyd C."	"The Robe"
"Thomas"	"M"	0.4	99.6	1883	1948	532	1953	"Costain, Thomas B."	"The Silver Chalice"
"Annemarie"	"F"	100	0	1883	1948	533	1953	"Selinko, Annemarie"	"Desiree"
